league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
AUT-Bundesliga,2024-25,Austria Wien,Samuel Şahin-Radlinger,AUT,GK,31,1992,32,32,2880,32.0,32,1.0,125,95,76.0,18,6,8,10,31.3,2,2,0,0,0.0
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Andreas Lukse,AUT,GK,36,1987,4,4,360,4.0,5,1.25,12,7,66.7,1,2,1,1,25.0,1,1,0,0,0.0
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Nicolas Schmid,AUT,GK,27,1997,2,2,180,2.0,5,2.5,12,7,58.3,1,0,1,1,50.0,0,0,0,0,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Radek Vítek,,GK,20,2003,26,26,2340,26.0,35,1.35,111,80,72.1,9,3,14,6,23.1,4,4,0,0,0.0
AUT-Bundesliga,2024-25,Grazer AK,Florian Wiegele,AUT,GK,23,2001,15,15,1350,15.0,19,1.27,66,52,75.8,3,7,5,5,33.3,5,3,2,0,40.0
AUT-Bundesliga,2024-25,Grazer AK,Jakob Meierhofer,AUT,GK,26,1997,17,17,1530,17.0,35,2.06,77,49,63.6,2,6,9,2,11.8,7,7,0,0,0.0
AUT-Bundesliga,2024-25,Hartberg,Luka Marić,AUT,GK,22,2002,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
AUT-Bundesliga,2024-25,Hartberg,Raphael Sallinger,AUT,GK,28,1995,31,31,2790,31.0,40,1.29,138,100,72.5,10,11,10,8,25.8,3,2,1,0,33.3
AUT-Bundesliga,2024-25,LASK,Jörg Siebenhandl,AUT,GK,34,1990,11,10,892,9.9,16,1.61,37,21,56.8,5,2,3,1,10.0,0,0,0,0,
AUT-Bundesliga,2024-25,LASK,Lukas Jungwirth,AUT,GK,20,2004,3,2,225,2.5,5,2.0,8,3,37.5,0,0,2,0,0.0,0,0,0,0,
AUT-Bundesliga,2024-25,LASK,Tobias Lawal,AUT,GK,24,2000,18,18,1583,17.6,14,0.8,62,50,80.6,11,3,4,8,44.4,2,2,0,0,0.0
AUT-Bundesliga,2024-25,LASK,Tobias Schützenauer,AUT,GK,27,1997,2,2,180,2.0,1,0.5,10,9,90.0,0,1,1,1,50.0,0,0,0,0,
AUT-Bundesliga,2024-25,RB Salzburg,Alexander Schlager,AUT,GK,28,1996,21,21,1890,21.0,22,1.05,73,52,69.9,10,7,4,7,33.3,1,0,1,0,100.0
AUT-Bundesliga,2024-25,RB Salzburg,Janis Blaswich,GER,GK,33,1991,11,11,990,11.0,14,1.27,35,22,62.9,6,2,3,5,45.5,1,1,0,0,0.0
AUT-Bundesliga,2024-25,Rapid Wien,Niklas Hedl,AUT,GK,23,2001,30,30,2636,29.3,35,1.19,103,71,68.0,12,7,11,9,30.0,3,2,1,0,33.3
AUT-Bundesliga,2024-25,Rapid Wien,Paul Gartler,AUT,GK,27,1997,3,2,240,2.7,7,2.62,14,7,50.0,0,1,1,0,0.0,0,0,0,0,
AUT-Bundesliga,2024-25,SCR Altach,Ammar Helac,AUT,GK,26,1998,3,3,270,3.0,2,0.67,12,10,83.3,0,2,1,1,33.3,0,0,0,0,
AUT-Bundesliga,2024-25,SCR Altach,Dejan Stojanović,AUT,GK,31,1993,29,29,2610,29.0,44,1.52,114,74,64.0,5,9,15,4,13.8,4,3,1,0,25.0
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Marco Knaller,AUT,GK,37,1987,5,5,450,5.0,8,1.6,17,10,64.7,2,1,2,1,20.0,2,2,0,0,0.0
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Simon Spari,AUT,GK,22,2002,27,27,2430,27.0,62,2.3,149,92,61.7,4,8,15,4,14.8,5,5,0,0,0.0
AUT-Bundesliga,2024-25,Sturm Graz,Daniil Khudiakov,RUS,GK,20,2004,2,2,180,2.0,1,0.5,3,2,66.7,1,1,0,1,50.0,0,0,0,0,
AUT-Bundesliga,2024-25,Sturm Graz,Kjell Scherpen,NED,GK,24,2000,30,30,2700,30.0,38,1.27,112,77,67.9,18,5,7,7,23.3,3,2,1,0,33.3
AUT-Bundesliga,2024-25,WSG Tirol,Adam Stejskal,CZE,GK,21,2002,31,31,2790,31.1,50,1.61,133,85,63.9,7,8,16,7,22.6,3,2,0,1,0.0
