league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
AUT-Bundesliga,2024-25,Austria Wien,Abubakr Barry,GAM,MF,24,2000,23.9,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Aleksandar Dragović,AUT,DF,33,1991,27.9,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Andreas Gruber,AUT,"MF,FW",29,1995,14.7,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Cristiano,BRA,MF,22,2001,1.1,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,David Ewemade,NGA,DF,19,2005,0.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Dominik Fitz,AUT,"MF,FW",25,1999,29.2,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Florian Wustinger,AUT,MF,21,2003,0.3,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Hakim Guenouche,FRA,"DF,MF",24,2000,10.1,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Johannes Handl,AUT,DF,26,1998,11.6,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Konstantin Aleksa,AUT,FW,17,2007,0.9,,,,,,,,,,,,,,,,,,,,,,
