league,season,team,player,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
BEL-Belgian Pro League,2024-25,Genk,Oh Hyeon-gyu,KOR,FW,23,2001,4.8,138,126,10,0,0,1,2,2,1,0,0,0,91,2,3
BEL-Belgian Pro League,2024-25,Genk,Patrik Hrošovský,SVK,MF,32,1992,18.7,818,765,50,13,1,7,21,5,10,4,3,0,710,3,8
BEL-Belgian Pro League,2024-25,Genk,Tolu Arokodare,NGA,FW,23,2000,25.7,462,457,3,0,1,3,3,1,0,0,0,0,346,2,10
BEL-Belgian Pro League,2024-25,Genk,Yira Sor,NGA,FW,24,2000,6.6,197,194,1,0,0,1,9,0,1,0,0,0,148,2,9
BEL-Belgian Pro League,2024-25,Genk,Zakaria El Ouahdi,MAR,DF,22,2001,25.6,1294,1075,213,14,1,4,52,199,0,0,0,0,1057,6,23
BEL-Belgian Pro League,2024-25,Gent,Ahmed Abdullahi,NGA,MF,20,2004,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
BEL-Belgian Pro League,2024-25,Gent,Aimé Omgba,NED,"MF,FW",21,2002,0.6,36,35,1,1,0,0,0,0,0,0,0,0,31,0,3
BEL-Belgian Pro League,2024-25,Gent,Andrew Hjulsager,DEN,"FW,MF",29,1995,4.9,190,162,28,3,4,1,38,3,20,10,8,2,127,0,9
BEL-Belgian Pro League,2024-25,Gent,Andri Guðjohnsen,ISL,FW,22,2002,14.0,296,283,12,0,0,1,0,1,0,0,0,0,214,1,9
BEL-Belgian Pro League,2024-25,Gent,Archie Brown,ENG,DF,22,2002,25.4,1314,1057,254,15,3,6,98,238,1,0,0,0,953,3,51
BEL-Belgian Pro League,2024-25,Gent,Atsuki Ito,JPN,MF,25,1998,21.2,837,817,19,11,2,6,14,6,2,1,0,0,668,1,22
BEL-Belgian Pro League,2024-25,Gent,Daisuke Yokota,JPN,MF,24,2000,2.6,115,112,3,0,0,0,1,3,0,0,0,0,86,0,5
BEL-Belgian Pro League,2024-25,Gent,Daniel Schmidt,JPN,GK,32,1992,1.0,39,37,2,0,0,0,0,0,0,0,0,0,30,0,0
BEL-Belgian Pro League,2024-25,Gent,Dante Vanzeir,BEL,FW,26,1998,6.7,186,175,9,0,3,1,13,0,0,0,0,0,124,2,13
BEL-Belgian Pro League,2024-25,Gent,Davy Roef,BEL,GK,30,1994,26.0,911,656,251,36,0,1,0,0,0,0,0,0,704,4,0
BEL-Belgian Pro League,2024-25,Gent,Franck Surdez,SUI,"MF,FW",22,2002,13.6,440,422,18,3,4,2,40,8,0,0,0,0,306,0,23
BEL-Belgian Pro League,2024-25,Gent,Gilles De Meyer,BEL,DF,17,2006,0.2,14,10,4,0,0,0,1,4,0,0,0,0,10,0,0
BEL-Belgian Pro League,2024-25,Gent,Hong Hyunseok,KOR,MF,25,1999,2.8,137,126,11,5,0,0,14,0,6,2,3,0,107,0,4
BEL-Belgian Pro League,2024-25,Gent,Hugo Gambor,CTA,DF,21,2002,13.5,862,716,142,23,0,4,11,119,0,0,0,0,681,4,20
BEL-Belgian Pro League,2024-25,Gent,Hyllarion Goore,CIV,"FW,MF",18,2005,2.3,38,38,0,0,0,0,2,0,0,0,0,0,28,0,4
BEL-Belgian Pro League,2024-25,Gent,Hélio Varela,CPV,"FW,MF",22,2002,1.6,66,63,2,0,0,0,7,1,0,0,0,0,45,1,3
BEL-Belgian Pro League,2024-25,Gent,Ismaël Kandouss,MAR,MF,26,1997,0.0,3,2,1,1,0,0,0,0,0,0,0,0,2,0,0
BEL-Belgian Pro League,2024-25,Gent,Jordan Torunarigha,GER,DF,26,1997,20.6,1153,1092,56,46,1,9,3,7,0,0,0,0,967,5,9
BEL-Belgian Pro League,2024-25,Gent,Leonardo da Silva Lopes,POR,MF,25,1998,7.1,311,303,6,5,1,6,3,1,0,0,0,0,246,2,4
BEL-Belgian Pro League,2024-25,Gent,Mathias Delorge,BEL,MF,20,2004,26.5,1553,1432,119,57,2,33,84,8,53,17,16,10,1238,2,29
BEL-Belgian Pro League,2024-25,Gent,Matias Fernandez-Pardo,BEL,"MF,FW",19,2005,1.8,46,44,2,0,0,0,0,0,0,0,0,0,33,0,3
BEL-Belgian Pro League,2024-25,Gent,Matisse Samoise,BEL,DF,22,2001,13.9,854,698,155,15,0,10,42,129,11,3,6,0,648,1,27
BEL-Belgian Pro League,2024-25,Gent,Max Dean,ENG,FW,20,2004,10.8,217,197,19,0,4,4,6,0,0,0,0,0,133,1,10
BEL-Belgian Pro League,2024-25,Gent,Momodou Sonko,SWE,"FW,DF",19,2005,12.9,452,438,13,0,1,8,22,11,2,0,0,0,338,1,21
BEL-Belgian Pro League,2024-25,Gent,Noah Fadiga,SEN,"DF,MF",24,1999,9.3,331,279,52,2,0,0,9,50,0,0,0,0,263,0,10
BEL-Belgian Pro League,2024-25,Gent,Núrio Fortuna,ANG,"MF,DF",29,1995,0.1,8,5,3,0,0,0,0,3,0,0,0,0,5,0,0
BEL-Belgian Pro League,2024-25,Gent,Omri Gandelman,ISR,"MF,FW",24,2000,16.9,411,407,4,1,3,1,5,2,0,0,0,0,275,0,16
BEL-Belgian Pro League,2024-25,Gent,Pieter Gerkens,BEL,MF,28,1995,7.8,363,325,38,13,3,1,36,2,19,10,7,1,249,0,13
BEL-Belgian Pro League,2024-25,Gent,Samuel Kotto,CMR,DF,20,2003,3.4,209,198,10,8,0,1,2,0,0,0,0,0,172,1,5
BEL-Belgian Pro League,2024-25,Gent,Stefan Mitrović,SRB,DF,34,1990,13.9,742,708,34,26,1,8,0,1,0,0,0,0,668,0,3
BEL-Belgian Pro League,2024-25,Gent,Sven Kums,BEL,MF,36,1988,9.9,692,624,67,26,3,9,48,5,31,9,15,0,552,1,13
BEL-Belgian Pro League,2024-25,Gent,Tiago Araújo,POR,"DF,MF",23,2001,6.5,364,310,54,3,0,7,35,50,1,0,1,0,266,0,20
BEL-Belgian Pro League,2024-25,Gent,Tibe De Vlieger,BEL,"FW,DF",18,2005,0.5,18,17,1,0,0,0,1,1,0,0,0,0,14,0,1
BEL-Belgian Pro League,2024-25,Gent,Tom Vandenberghe,BEL,GK,31,1992,3.0,118,101,17,4,0,0,0,0,0,0,0,0,87,0,0
BEL-Belgian Pro League,2024-25,Gent,Tsuyoshi Watanabe,JPN,DF,27,1997,26.9,1654,1594,57,40,3,8,1,10,0,0,0,0,1426,3,7
BEL-Belgian Pro League,2024-25,Gent,Zalán Vancsa,HUN,MF,19,2004,0.9,26,25,1,0,0,0,1,0,0,0,0,0,19,0,0
BEL-Belgian Pro League,2024-25,Kortrijk,Abdelkahar Kadri,ALG,"MF,FW",24,2000,18.4,848,698,149,27,4,6,110,10,86,44,36,0,656,1,21
BEL-Belgian Pro League,2024-25,Kortrijk,Abdoulaye Sissako,FRA,"MF,DF",26,1998,17.6,708,693,14,10,1,2,7,1,0,0,0,0,563,1,12
BEL-Belgian Pro League,2024-25,Kortrijk,Billal Messaoudi,ALG,FW,26,1997,6.9,120,118,0,0,0,0,4,0,0,0,0,0,77,2,5
BEL-Belgian Pro League,2024-25,Kortrijk,Bram Lagae,BEL,DF,20,2004,18.5,940,754,186,35,1,36,11,144,0,0,0,0,658,0,15
BEL-Belgian Pro League,2024-25,Kortrijk,Brecht Dejaegere,BEL,"MF,DF",33,1991,15.1,602,499,97,23,2,3,58,32,30,13,15,0,407,6,16
BEL-Belgian Pro League,2024-25,Kortrijk,Dermane Karim,TOG,"MF,FW",20,2003,7.6,261,253,8,1,1,1,10,1,0,0,0,0,197,0,8
BEL-Belgian Pro League,2024-25,Kortrijk,Dion De Neve,BEL,DF,22,2002,20.4,778,662,115,3,0,0,117,110,2,2,0,0,524,1,28
BEL-Belgian Pro League,2024-25,Kortrijk,Gilles Dewaele,BEL,DF,28,1996,12.2,548,444,104,6,0,3,32,98,0,0,0,0,396,0,17
BEL-Belgian Pro League,2024-25,Kortrijk,Haruya Fujii,JPN,DF,23,2000,17.2,818,752,63,22,1,5,6,41,0,0,0,0,662,3,7
BEL-Belgian Pro League,2024-25,Kortrijk,Iver Fossum,NOR,MF,28,1996,2.6,98,96,2,1,0,0,3,0,1,0,0,0,74,0,4
BEL-Belgian Pro League,2024-25,Kortrijk,James Ndjeungoue,CMR,DF,21,2003,2.5,130,107,23,7,0,3,1,16,0,0,0,0,86,0,0
BEL-Belgian Pro League,2024-25,Kortrijk,Jean-Kevin Duverne,HAI,"DF,MF",27,1997,7.0,358,303,52,2,0,1,20,50,0,0,0,0,225,3,8
BEL-Belgian Pro League,2024-25,Kortrijk,João Silva,POR,DF,25,1999,20.8,791,731,58,25,1,4,1,2,0,0,0,0,641,2,8
BEL-Belgian Pro League,2024-25,Kortrijk,Karol Czubak,POL,FW,24,2000,0.7,14,14,0,0,1,0,0,0,0,0,0,0,9,0,0
BEL-Belgian Pro League,2024-25,Kortrijk,Koen Kostons,NED,"FW,MF",24,1999,2.9,78,77,1,0,0,0,5,1,0,0,0,0,56,0,2
BEL-Belgian Pro League,2024-25,Kortrijk,Kyan Himpe,BEL,"FW,DF",18,2006,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
BEL-Belgian Pro League,2024-25,Kortrijk,Lucas Pirard,BEL,GK,29,1995,6.0,178,117,58,21,0,1,0,0,0,0,0,0,120,3,0
BEL-Belgian Pro League,2024-25,Kortrijk,Marco Ilaimaharitra,MAD,MF,29,1995,7.0,315,306,9,4,1,3,9,4,1,0,1,0,256,0,3
BEL-Belgian Pro League,2024-25,Kortrijk,Mark Mampasi,UKR,DF,21,2003,11.5,402,344,57,16,0,3,4,39,0,0,0,0,278,1,5
BEL-Belgian Pro League,2024-25,Kortrijk,Marko Ilić,SRB,GK,26,1998,4.7,112,70,41,15,0,0,0,0,0,0,0,0,71,1,0
BEL-Belgian Pro League,2024-25,Kortrijk,Massimo Bruno,BEL,MF,30,1993,6.5,233,201,32,9,2,3,30,2,15,7,8,0,168,0,7
BEL-Belgian Pro League,2024-25,Kortrijk,Mouhamed Guèye,SEN,"DF,MF",20,2003,1.3,34,34,0,0,0,0,0,0,0,0,0,0,26,0,1
BEL-Belgian Pro League,2024-25,Kortrijk,Mounaim El Idrissy,FRA,"DF,FW",25,1999,3.8,106,102,4,0,0,0,8,4,0,0,0,0,66,0,4
BEL-Belgian Pro League,2024-25,Kortrijk,Nacho Ferri,ESP,FW,19,2004,20.5,399,396,1,0,1,3,10,0,0,0,0,0,229,2,15
BEL-Belgian Pro League,2024-25,Kortrijk,Nayel Mehssatou,CHI,"MF,DF",22,2002,25.2,1068,947,118,46,3,15,46,65,4,1,2,0,820,3,33
BEL-Belgian Pro League,2024-25,Kortrijk,Patrik Gunnarsson,ISL,GK,23,2000,10.2,322,214,106,29,0,0,0,0,0,0,0,0,199,2,0
BEL-Belgian Pro League,2024-25,Kortrijk,Roko Simic,CRO,FW,20,2003,1.6,21,21,0,0,0,0,0,0,0,0,0,0,15,0,1
BEL-Belgian Pro League,2024-25,Kortrijk,Ryan Alebiosu,ENG,DF,22,2001,6.8,225,205,19,0,0,0,29,19,0,0,0,0,159,1,14
BEL-Belgian Pro League,2024-25,Kortrijk,Ryotaro Tsunoda,JPN,DF,25,1999,5.0,214,201,10,5,0,0,1,1,0,0,0,0,148,3,0
BEL-Belgian Pro League,2024-25,Kortrijk,Takuro Kaneko,JPN,"MF,FW",27,1997,9.9,354,305,49,7,1,2,78,9,19,14,4,0,221,0,12
BEL-Belgian Pro League,2024-25,Kortrijk,Thierry Ambrose,GLP,FW,27,1997,19.1,493,481,10,1,2,5,21,0,0,0,0,0,332,2,22
BEL-Belgian Pro League,2024-25,Kortrijk,Tom Vandenberghe,BEL,GK,31,1992,9.0,232,164,68,22,0,0,0,0,0,0,0,0,161,0,0
BEL-Belgian Pro League,2024-25,Kortrijk,Tomoki Takamine,JPN,MF,26,1997,10.9,382,366,15,11,3,8,3,0,0,0,0,0,324,1,2
BEL-Belgian Pro League,2024-25,Mechelen,Ahmed Touba,ALG,DF,26,1998,22.2,1361,1316,38,19,3,10,4,7,0,0,0,0,1210,7,5
BEL-Belgian Pro League,2024-25,Mechelen,Aziz Ouattara,CIV,MF,23,2001,17.3,729,702,25,15,3,10,7,10,0,0,0,0,616,2,9
BEL-Belgian Pro League,2024-25,Mechelen,Bas van den Eynden,BEL,DF,22,2002,8.0,445,425,19,9,0,2,0,1,0,0,0,0,394,1,2
BEL-Belgian Pro League,2024-25,Mechelen,Benito Raman,BEL,FW,29,1994,12.7,231,210,18,1,0,3,18,0,0,0,0,0,151,3,14
BEL-Belgian Pro League,2024-25,Mechelen,Bilal Bafdili,BEL,"MF,FW",19,2004,9.8,305,278,26,4,2,0,30,0,21,13,6,0,236,1,10
BEL-Belgian Pro League,2024-25,Mechelen,Bill Antonio,ZIM,"DF,FW",21,2002,3.9,112,107,3,0,0,0,13,3,0,0,0,0,74,2,4
BEL-Belgian Pro League,2024-25,Mechelen,Daam Foulon,BEL,"DF,MF",25,1999,17.7,861,748,109,5,0,4,47,104,0,0,0,0,667,4,16
BEL-Belgian Pro League,2024-25,Mechelen,Elton Yeboah,BEL,"MF,DF",19,2005,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
BEL-Belgian Pro League,2024-25,Mechelen,Fredrik Hammer,SWE,MF,23,2001,8.7,334,322,12,9,0,1,2,3,0,0,0,0,254,0,9
BEL-Belgian Pro League,2024-25,Mechelen,Geoffry Hairemans,BEL,"MF,FW",32,1991,13.2,743,687,52,12,5,4,51,26,14,6,3,0,561,4,8
BEL-Belgian Pro League,2024-25,Mechelen,José Marsà,ESP,DF,22,2002,25.2,1513,1388,120,22,1,19,27,98,0,0,0,0,1224,5,29
BEL-Belgian Pro League,2024-25,Mechelen,Jules Van Cleemput,BEL,DF,27,1997,3.5,231,217,14,5,0,4,1,9,0,0,0,0,186,0,3
BEL-Belgian Pro League,2024-25,Mechelen,Julien Ngoy,BEL,FW,26,1997,1.3,23,21,2,0,0,0,2,0,0,0,0,0,18,0,0
BEL-Belgian Pro League,2024-25,Mechelen,Keano Vanrafelghem,BEL,"MF,FW",20,2003,1.8,55,46,9,1,0,0,7,2,5,1,1,0,40,0,2
BEL-Belgian Pro League,2024-25,Mechelen,Kerim Mrabti,SWE,"MF,FW",30,1994,22.3,890,851,37,10,0,4,31,4,18,7,7,0,721,2,21
BEL-Belgian Pro League,2024-25,Mechelen,Lion Lauberbach,GER,FW,26,1998,15.3,327,306,21,1,0,2,17,2,0,0,0,0,228,0,14
BEL-Belgian Pro League,2024-25,Mechelen,Mory Konaté,GUI,"DF,MF",30,1993,1.4,39,37,2,2,0,0,0,0,0,0,0,0,32,0,0
BEL-Belgian Pro League,2024-25,Mechelen,Nikola Storm,BEL,"MF,FW",29,1994,15.5,521,491,27,8,3,21,46,12,6,1,0,0,396,3,20
BEL-Belgian Pro League,2024-25,Mechelen,Ortwin De Wolf,BEL,GK,27,1997,30.0,1165,879,283,58,0,1,0,0,0,0,0,0,901,3,1
BEL-Belgian Pro League,2024-25,Mechelen,Patrick Pflücke,GER,"DF,MF",27,1996,16.4,838,699,136,13,2,22,91,73,50,16,15,0,671,3,13
BEL-Belgian Pro League,2024-25,Mechelen,Petter Nosa Dahl,NOR,"MF,FW",21,2003,5.1,171,167,4,1,1,0,14,3,0,0,0,0,124,0,2
BEL-Belgian Pro League,2024-25,Mechelen,Rafik Belghali,ALG,DF,22,2002,17.4,795,697,95,7,1,5,35,88,0,0,0,0,628,3,18
BEL-Belgian Pro League,2024-25,Mechelen,Rob Schoofs,BEL,MF,30,1994,27.4,1672,1532,130,64,6,16,65,7,37,20,13,0,1373,10,28
BEL-Belgian Pro League,2024-25,Mechelen,Sandy Walsh,IDN,DF,29,1995,2.2,181,169,12,2,0,0,1,10,0,0,0,0,157,0,0
BEL-Belgian Pro League,2024-25,Mechelen,Stephen Welsh,SCO,DF,24,2000,4.5,277,266,11,1,0,1,0,4,0,0,0,0,247,0,1
BEL-Belgian Pro League,2024-25,Mechelen,Toon Raemaekers,BEL,DF,23,2000,24.8,1754,1627,121,41,3,27,8,72,0,0,0,0,1470,6,11
BEL-Belgian Pro League,2024-25,Mechelen,Zinho Vanheusden,BEL,DF,25,1999,1.8,123,117,4,4,0,2,0,0,0,0,0,0,113,2,2
BEL-Belgian Pro League,2024-25,OH Leuven,Antef Tsoungui,BEL,DF,21,2002,0.5,30,24,6,0,0,0,1,6,0,0,0,0,23,0,0
BEL-Belgian Pro League,2024-25,OH Leuven,Ayumu Ohata,JPN,DF,23,2001,0.6,31,28,3,0,0,0,4,3,0,0,0,0,26,0,0
BEL-Belgian Pro League,2024-25,OH Leuven,Birger Verstraete,BEL,MF,30,1994,23.8,996,887,101,55,2,10,51,3,43,15,20,0,801,8,12
BEL-Belgian Pro League,2024-25,OH Leuven,Chukwubuikem Ikwuemesi,NGA,FW,22,2001,17.1,247,225,21,1,3,1,10,1,0,0,0,0,173,1,12
BEL-Belgian Pro League,2024-25,OH Leuven,Davis Opoku,BEL,"FW,DF",16,2007,0.0,7,6,1,0,0,0,0,1,0,0,0,0,5,0,0
BEL-Belgian Pro League,2024-25,OH Leuven,Ewoud Pletinckx,BEL,DF,23,2000,9.2,332,296,36,10,0,2,1,5,0,0,0,0,280,0,4
BEL-Belgian Pro League,2024-25,OH Leuven,Ezechiel Banzuzi,NED,MF,19,2005,23.1,871,832,36,14,1,8,18,22,0,0,0,0,714,3,12
BEL-Belgian Pro League,2024-25,OH Leuven,Federico Ricca,URU,DF,29,1994,21.2,1242,1180,57,38,1,15,7,18,0,0,0,0,1046,5,9
BEL-Belgian Pro League,2024-25,OH Leuven,Hamza Mendyl,MAR,DF,26,1997,6.5,274,240,33,6,1,1,15,27,0,0,0,0,216,1,10
BEL-Belgian Pro League,2024-25,OH Leuven,Hasan Kuruçay,,DF,26,1997,17.3,1011,944,64,39,0,10,2,0,0,0,0,0,909,3,6
BEL-Belgian Pro League,2024-25,OH Leuven,Jovan Mijatović,SRB,"FW,MF",19,2005,1.5,35,33,2,0,0,1,1,0,0,0,0,0,23,0,1
BEL-Belgian Pro League,2024-25,OH Leuven,Joël Schingtienne,BEL,DF,21,2002,4.0,160,134,26,6,0,0,1,17,0,0,0,0,136,0,3
BEL-Belgian Pro League,2024-25,OH Leuven,Jón Dagur Þorsteinsson,ISL,"MF,FW",25,1998,1.0,38,27,10,4,0,0,10,1,5,4,1,0,15,1,0
BEL-Belgian Pro League,2024-25,OH Leuven,Konan N'dri,CIV,"FW,MF",23,2000,17.6,388,359,27,1,2,4,33,15,3,0,0,0,263,2,35
BEL-Belgian Pro League,2024-25,OH Leuven,Lequincio Zeefuik,NED,FW,19,2004,5.2,75,71,4,0,0,1,1,0,0,0,0,0,45,0,0
BEL-Belgian Pro League,2024-25,OH Leuven,Manuel Osifo,BEL,DF,21,2003,8.0,355,288,66,10,0,1,5,56,0,0,0,0,269,1,9
BEL-Belgian Pro League,2024-25,OH Leuven,Mathieu Maertens,BEL,"FW,MF",29,1995,8.6,172,159,11,0,3,2,10,3,0,0,0,0,115,2,5
BEL-Belgian Pro League,2024-25,OH Leuven,Maxence Prevot,FRA,GK,27,1997,1.0,44,32,12,4,0,0,0,0,0,0,0,0,31,0,0
BEL-Belgian Pro League,2024-25,OH Leuven,Mickaël Biron,MTQ,"FW,MF",26,1997,1.4,41,40,1,0,1,0,3,0,0,0,0,0,24,0,2
BEL-Belgian Pro League,2024-25,OH Leuven,Siebe Schrijvers,BEL,MF,28,1996,20.2,808,746,56,25,3,3,51,8,19,3,14,0,610,6,20
BEL-Belgian Pro League,2024-25,OH Leuven,Stefan Mitrović,SRB,"FW,MF",21,2002,14.0,377,361,15,0,1,2,33,10,3,2,0,0,277,1,22
BEL-Belgian Pro League,2024-25,OH Leuven,Suphanat Mueanta,THA,"FW,MF",21,2002,0.7,15,13,2,0,0,0,1,1,0,0,0,0,9,0,1
BEL-Belgian Pro League,2024-25,OH Leuven,Takahiro Akimoto,JPN,DF,26,1998,22.5,989,807,180,23,1,0,10,157,0,0,0,0,797,2,20
BEL-Belgian Pro League,2024-25,OH Leuven,Takuma Ominami,JPN,DF,26,1997,14.8,779,738,39,24,1,2,5,7,0,0,0,0,686,2,3
BEL-Belgian Pro League,2024-25,OH Leuven,Thibaud Verlinden,BEL,"FW,MF",25,1999,3.9,106,86,20,3,0,0,27,4,11,3,8,0,65,0,8
BEL-Belgian Pro League,2024-25,OH Leuven,Thibault Vlietinck,BEL,DF,26,1997,14.1,651,497,152,9,0,0,46,143,0,0,0,0,489,2,24
BEL-Belgian Pro League,2024-25,OH Leuven,Tobe Leysen,BEL,GK,22,2002,29.0,1235,923,310,100,0,2,0,0,0,0,0,0,866,2,1
BEL-Belgian Pro League,2024-25,OH Leuven,William Balikwisha,COD,"FW,MF",25,1999,12.0,412,408,4,3,1,5,36,1,0,0,0,0,311,0,17
BEL-Belgian Pro League,2024-25,OH Leuven,Wouter George,BEL,MF,22,2002,1.9,72,71,0,0,0,0,2,0,0,0,0,0,54,1,2
BEL-Belgian Pro League,2024-25,OH Leuven,Youssef Maziz,FRA,"MF,FW",26,1998,15.8,700,589,103,29,7,6,85,4,60,21,29,0,502,8,18
BEL-Belgian Pro League,2024-25,OH Leuven,Óscar Gil,ESP,DF,27,1997,11.2,490,382,106,9,0,5,17,97,0,0,0,0,391,2,15
BEL-Belgian Pro League,2024-25,Sint-Truiden,Adam Nhaili,BEL,"FW,MF",18,2005,2.3,88,84,4,2,0,0,5,1,0,0,0,0,74,0,3
BEL-Belgian Pro League,2024-25,Sint-Truiden,Adriano Bertaccini,BEL,"FW,MF",23,2000,24.7,512,468,42,1,2,0,12,7,0,0,0,0,363,2,17
BEL-Belgian Pro League,2024-25,Sint-Truiden,Alouis Diriken,BEL,MF,20,2004,1.6,43,43,0,0,0,0,0,0,0,0,0,0,37,0,0
BEL-Belgian Pro League,2024-25,Sint-Truiden,Andrés Ferrari,URU,FW,21,2003,9.2,133,128,4,0,2,1,2,2,0,0,0,0,101,1,8
BEL-Belgian Pro League,2024-25,Sint-Truiden,Arthur Alexis,BEL,MF,18,2006,0.1,8,8,0,0,0,0,1,0,0,0,0,0,6,0,0
BEL-Belgian Pro League,2024-25,Sint-Truiden,Bilal Brahimi,ALG,"MF,FW",24,2000,16.5,868,747,119,21,7,12,184,19,66,30,26,0,630,2,25
BEL-Belgian Pro League,2024-25,Sint-Truiden,Bruno Godeau,BEL,DF,32,1992,27.3,1662,1555,106,37,2,21,11,27,0,0,0,0,1451,1,11
BEL-Belgian Pro League,2024-25,Sint-Truiden,David Mindombe,BEL,DF,23,2001,1.0,33,33,0,0,0,1,0,0,0,0,0,0,28,0,1
BEL-Belgian Pro League,2024-25,Sint-Truiden,Didier Lamkel Zé,CMR,FW,27,1996,7.1,231,229,2,0,0,1,9,0,0,0,0,0,141,0,17
BEL-Belgian Pro League,2024-25,Sint-Truiden,Frederic Ananou,TOG,"DF,MF",26,1997,2.2,106,98,8,0,0,1,1,8,0,0,0,0,90,0,2
BEL-Belgian Pro League,2024-25,Sint-Truiden,Hiiro komori,JPN,"MF,FW",23,2000,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
BEL-Belgian Pro League,2024-25,Sint-Truiden,Hugo Lambotte,BEL,MF,18,2006,0.4,23,23,0,0,0,0,0,0,0,0,0,0,18,0,0
BEL-Belgian Pro League,2024-25,Sint-Truiden,Isaías Delpupo,ARG,"FW,DF",21,2003,1.5,57,56,1,0,0,1,3,0,1,1,0,0,40,0,4
BEL-Belgian Pro League,2024-25,Sint-Truiden,Jay-David Mbalanda,FRA,FW,17,2007,0.2,12,12,0,0,0,1,1,0,0,0,0,0,9,0,1
BEL-Belgian Pro League,2024-25,Sint-Truiden,Jo Coppens,BEL,GK,33,1990,3.0,108,89,17,7,0,0,0,0,0,0,0,0,68,2,0
BEL-Belgian Pro League,2024-25,Sint-Truiden,Joel Fujita,JPN,MF,22,2002,26.7,1348,1312,33,25,3,5,10,8,0,0,0,0,1142,3,7
BEL-Belgian Pro League,2024-25,Sint-Truiden,Joselpho Barnes,GHA,"FW,MF",22,2001,1.3,34,31,3,0,0,0,0,1,0,0,0,0,21,0,2
BEL-Belgian Pro League,2024-25,Sint-Truiden,Kahveh Zahiroleslam,USA,FW,22,2002,11.9,273,262,10,1,2,2,4,5,0,0,0,0,192,1,18
BEL-Belgian Pro League,2024-25,Sint-Truiden,Leo Kokubo,JPN,GK,23,2001,27.0,925,689,232,60,0,1,0,0,0,0,0,0,671,4,1
BEL-Belgian Pro League,2024-25,Sint-Truiden,Louis Patris,BEL,"DF,MF",23,2001,18.7,697,600,93,0,6,0,58,93,0,0,0,0,449,4,32
BEL-Belgian Pro League,2024-25,Sint-Truiden,Loïc Lapoussin,MAD,"MF,DF",28,1996,5.6,331,291,40,11,2,3,23,15,12,6,4,0,231,0,11
BEL-Belgian Pro League,2024-25,Sint-Truiden,Olivier Dumont,BEL,"MF,FW",22,2002,4.9,223,214,7,1,0,1,6,4,0,0,0,0,182,2,3
BEL-Belgian Pro League,2024-25,Sint-Truiden,Rein Van Helden,BEL,DF,22,2002,26.0,1557,1429,128,50,0,9,9,71,0,0,0,0,1295,0,22
BEL-Belgian Pro League,2024-25,Sint-Truiden,Rihito Yamamoto,JPN,MF,22,2001,10.5,371,360,10,3,4,1,16,2,5,4,1,0,306,1,5
BEL-Belgian Pro League,2024-25,Sint-Truiden,Robert-Jan Vanwesemael,BEL,"MF,DF",22,2002,15.5,669,592,74,8,1,5,35,63,1,0,0,0,531,3,23
BEL-Belgian Pro League,2024-25,Sint-Truiden,Ryotaro Ito,JPN,MF,26,1998,22.3,1115,999,114,32,8,5,75,3,58,36,11,0,933,2,28
BEL-Belgian Pro League,2024-25,Sint-Truiden,Ryoya Ogawa,JPN,"DF,MF",27,1996,27.2,1370,1143,217,13,2,1,98,201,3,3,0,0,1001,10,46
BEL-Belgian Pro League,2024-25,Sint-Truiden,Shogo Taniguchi,JPN,DF,33,1991,10.5,631,620,8,5,0,5,0,2,0,0,0,0,552,3,4
BEL-Belgian Pro League,2024-25,Sint-Truiden,Simen Juklerød,NOR,"DF,FW",30,1994,1.1,54,44,9,1,0,0,3,8,0,0,0,0,42,1,0
BEL-Belgian Pro League,2024-25,Sint-Truiden,Visar Musliu,MKD,DF,29,1994,2.1,90,81,9,4,0,1,0,0,0,0,0,0,75,0,0
BEL-Belgian Pro League,2024-25,Sint-Truiden,Wolke Janssens,BEL,DF,29,1995,9.8,491,438,53,14,0,0,2,38,0,0,0,0,403,0,5
BEL-Belgian Pro League,2024-25,Sint-Truiden,Zineddine Belaid,ALG,DF,25,1999,10.1,537,511,24,8,0,0,0,0,0,0,0,0,474,2,4
BEL-Belgian Pro League,2024-25,Standard Liège,Aiden O'Neill,AUS,MF,26,1998,24.1,973,942,30,28,0,4,7,2,0,0,0,0,782,1,20
BEL-Belgian Pro League,2024-25,Standard Liège,Alexandro Calut,BEL,"DF,MF",21,2003,2.1,109,105,3,2,0,2,6,1,0,0,0,0,83,1,4
BEL-Belgian Pro League,2024-25,Standard Liège,Andi Zeqiri,SUI,FW,25,1999,19.1,314,280,30,0,3,3,5,0,0,0,0,0,217,4,20
BEL-Belgian Pro League,2024-25,Standard Liège,Andreas Hountondji,BEN,FW,22,2002,3.5,69,62,7,0,0,0,7,2,0,0,0,0,44,0,3
