league,season,team,player,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
AUT-Bundesliga,2024-25,Grazer AK,Petar Filipović,GER,DF,33,1990,24.3,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Romeo Vucic,AUT,FW,21,2003,7.8,,,,,,,4,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Sadik Fofana,TOG,MF,21,2003,13.5,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Thomas Schiestl,AUT,MF,21,2002,4.2,,,,,,,9,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Thorsten Schriebl,AUT,MF,25,1998,11.6,,,,,,,30,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Tio Cipot,SVN,"FW,MF",21,2003,16.7,,,,,,,25,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Tobias Revelant,AUT,FW,20,2004,0.1,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Zeteny Jano,AUT,"MF,FW",19,2005,8.3,,,,,,,21,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Aaron Schwarz,AUT,MF,20,2004,2.0,,,,,,,9,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Benjamin Markuš,SVN,MF,23,2001,23.3,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Björn Hardley,NED,DF,21,2002,0.3,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Christoph Urdl,AUT,MF,24,1999,0.1,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Damjan Kovacevic,AUT,"DF,MF",19,2004,6.2,,,,,,,16,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Dominik Prokop,AUT,"MF,FW",27,1997,19.0,,,,,,,49,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Donis Avdijaj,KVX,"MF,FW",27,1996,24.7,,,,,,,31,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Elias Havel,AUT,FW,21,2003,6.0,,,,,,,3,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Emmanuel Ojukwu,AUT,DF,20,2004,0.4,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Fabian Wilfinger,AUT,DF,20,2003,19.0,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Furkan Demir,,"DF,MF",19,2004,13.5,,,,,,,35,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Jed Drew,AUS,"FW,MF",20,2003,6.2,,,,,,,18,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Jonas Karner,AUT,MF,19,2004,0.1,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Justin Omoregie,AUT,"MF,DF",20,2003,12.3,,,,,,,12,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Jürgen Heil,AUT,"DF,MF",27,1997,28.9,,,,,,,51,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Luka Marić,AUT,GK,22,2002,1.0,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Manuel Pfeifer,AUT,"DF,MF",24,1999,22.5,,,,,,,92,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Marco Hoffmnann,AUT,FW,16,2007,7.1,,,,,,,5,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Mateo Karamatić,AUT,DF,22,2001,17.7,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Maximilian Fillafer,AUT,"MF,FW",19,2004,4.2,,,,,,,5,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Muharem Huskovic,AUT,"FW,MF",21,2003,4.8,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Nelson Amadin,NED,MF,23,2000,1.6,,,,,,,13,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Nelson Prenner,AUT,MF,19,2005,1.0,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Patrik Mijić,CRO,FW,25,1998,21.8,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Paul Komposch,AUT,DF,23,2001,29.4,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Raphael Hofer,AUT,DF,21,2003,4.2,,,,,,,15,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Raphael Sallinger,AUT,GK,28,1995,31.0,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Tobias Kainz,AUT,MF,31,1992,22.8,,,,,,,93,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Youba Diarra,MLI,MF,26,1998,19.0,,,,,,,17,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Adil Taoui,FRA,MF,22,2001,3.5,,,,,,,25,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Alexis Tibidi,FRA,MF,20,2003,0.9,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Andrés Andrade Cedeño,PAN,DF,25,1998,5.8,,,,,,,3,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Armin Haider,AUT,FW,18,2005,0.2,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Armin Midzic,AUT,DF,18,2006,0.0,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Branko Jovičić,SRB,"MF,DF",31,1993,24.8,,,,,,,52,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Christoph Lang,AUT,"MF,FW",22,2002,7.9,,,,,,,12,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Emmanuel Michael,NGA,DF,18,2006,0.1,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Enis Safin,,MF,20,2004,1.6,,,,,,,1,,,,,,,,
