league,season,team,player,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
AUT-Bundesliga,2023-24,SCR Altach,Dejan Stojanović,AUT,GK,30,1993,25.3,29,1,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SCR Altach,Tobias Schützenauer,AUT,GK,26,1997,5.7,9,2,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SK Austria Klagenfurt,Marco Knaller,AUT,GK,36,1987,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SK Austria Klagenfurt,Phillip Menzel,GER,GK,24,1998,31.0,47,1,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Sturm Graz,Kjell Scherpen,NED,GK,23,2000,16.0,12,1,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Sturm Graz,Luka Marić,AUT,GK,21,2002,2.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Sturm Graz,Vitezslav Jaros,CZE,GK,22,2001,14.0,11,1,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,WSG Tirol,Adam Stejskal,CZE,GK,20,2002,31.4,53,3,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,WSG Tirol,Benjamin Ozegovic,AUT,GK,23,1999,0.4,1,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,WSG Tirol,Paul Schermer,AUT,GK,19,2004,0.1,1,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Wolfsberger AC,Hendrik Bonmann,GER,GK,29,1994,24.0,32,2,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Wolfsberger AC,Lukas Gütlbauer,AUT,GK,22,2000,8.0,6,0,,,,,,,,,,,,,,,,,,,,,,,
BEL-Belgian Pro League,2023-24,Anderlecht,Kasper Schmeichel,DEN,GK,36,1986,23.0,23,1,0,0,0,31.3,0.27,8.3,0.36,120,268,44.8,743,94,27.2,31.9,140,47.1,38.1,344,14,4.1,12,0.52,12.4
BEL-Belgian Pro League,2023-24,Anderlecht,Maxime Dupé,FRA,GK,30,1993,7.0,7,2,0,0,0,7.0,0.21,0.0,0.0,21,62,33.9,232,18,23.3,28.5,36,22.2,27.6,101,6,5.9,7,1.0,14.4
BEL-Belgian Pro League,2023-24,Antwerp,Jean Butez,FRA,GK,28,1995,30.0,27,5,0,3,1,28.3,0.25,2.3,0.08,173,459,37.7,1276,152,31.4,32.5,131,44.3,39.2,340,36,10.6,45,1.5,15.8
BEL-Belgian Pro League,2023-24,Cercle Brugge,Warleson,BRA,GK,26,1996,30.0,34,0,0,4,2,39.3,0.32,7.3,0.24,258,711,36.3,663,37,82.7,49.8,180,90.6,59.8,365,11,3.0,54,1.8,18.5
BEL-Belgian Pro League,2023-24,Charleroi,Hervé Koffi,BFA,GK,26,1996,26.0,39,5,0,2,1,42.0,0.29,4.0,0.16,160,436,36.7,768,125,40.5,35.9,168,74.4,52.2,358,39,10.9,38,1.46,15.6
BEL-Belgian Pro League,2023-24,Charleroi,Martin Delavallée,BEL,GK,19,2004,0.0,0,0,0,0,0,0.0,,0.0,0.0,3,3,100.0,1,0,100.0,44.0,2,100.0,48.0,1,0,0.0,0,0.0,
BEL-Belgian Pro League,2023-24,Charleroi,Pierre Patron,FRA,GK,25,1997,4.0,9,0,0,1,0,8.3,0.4,-0.7,-0.18,27,57,47.4,97,22,39.2,32.9,19,100.0,54.5,52,6,11.5,4,1.0,11.4
BEL-Belgian Pro League,2023-24,Club Brugge,Nordin Jackers,BEL,GK,25,1997,2.9,3,0,0,1,0,3.0,0.26,0.0,-0.01,26,51,51.0,79,8,43.0,35.1,30,56.7,39.4,32,3,9.4,3,1.03,9.9
BEL-Belgian Pro League,2023-24,Club Brugge,Simon Mignolet,BEL,GK,35,1988,27.1,26,0,2,0,0,25.3,0.29,-0.7,-0.03,151,309,48.9,833,111,28.8,29.9,153,45.1,35.7,245,26,10.6,52,1.92,16.4
BEL-Belgian Pro League,2023-24,Eupen,Gaga Slonina,USA,GK,19,2004,28.0,56,3,0,5,4,50.1,0.3,-1.9,-0.07,97,316,30.7,781,147,25.4,30.3,235,50.2,38.1,427,19,4.4,29,1.04,14.4
BEL-Belgian Pro League,2023-24,Eupen,Manaf Nurudeen,GHA,GK,24,1999,2.0,2,1,0,1,0,2.3,0.17,0.3,0.16,13,53,24.5,65,6,40.0,36.0,37,73.0,51.3,49,2,4.1,3,1.5,13.3
BEL-Belgian Pro League,2023-24,Genk,Maarten Vandevoordt,BEL,GK,21,2002,30.0,31,2,1,1,0,34.5,0.27,3.5,0.12,160,437,36.6,925,117,40.5,36.8,169,36.7,37.6,414,33,8.0,20,0.67,12.6
BEL-Belgian Pro League,2023-24,Gent,Daniel Schmidt,JPN,GK,31,1992,8.0,17,4,0,2,0,15.5,0.31,-1.5,-0.19,40,100,40.0,201,44,35.8,34.3,48,58.3,43.2,114,9,7.9,4,0.5,12.3
BEL-Belgian Pro League,2023-24,Gent,Davy Roef,BEL,GK,29,1994,12.0,9,3,0,0,0,15.2,0.23,6.2,0.52,58,115,50.4,272,82,27.9,30.9,87,44.8,38.5,168,17,10.1,7,0.58,12.0
BEL-Belgian Pro League,2023-24,Gent,Paul Nardi,FRA,GK,29,1994,10.0,12,1,0,1,0,11.9,0.26,-0.1,-0.01,45,112,40.2,196,36,36.7,35.2,87,46.0,40.0,154,10,6.5,6,0.6,13.2
BEL-Belgian Pro League,2023-24,Kortrijk,Lucas Pirard,BEL,GK,28,1995,9.0,10,0,0,3,1,12.0,0.29,3.0,0.33,83,212,39.2,211,37,65.4,43.3,91,81.3,51.6,170,12,7.1,10,1.11,13.2
BEL-Belgian Pro League,2023-24,Kortrijk,Tom Vandenberghe,BEL,GK,30,1992,21.0,47,1,0,7,3,44.3,0.36,0.3,0.01,120,356,33.7,537,104,50.7,40.5,154,54.5,42.1,332,26,7.8,17,0.81,11.5
BEL-Belgian Pro League,2023-24,Mechelen,Gaëtan Coucke,BEL,GK,24,1998,30.0,34,1,1,1,1,40.9,0.32,7.9,0.26,182,428,42.5,841,104,32.7,32.3,252,60.7,42.7,463,32,6.9,21,0.7,11.9
BEL-Belgian Pro League,2023-24,OH Leuven,Maxence Prevot,FRA,GK,26,1997,11.0,21,2,0,1,0,17.8,0.27,-3.2,-0.29,64,166,38.6,308,70,34.4,33.0,100,60.0,43.9,189,17,9.0,6,0.55,10.6
BEL-Belgian Pro League,2023-24,OH Leuven,Tobe Leysen,BEL,GK,21,2002,16.0,18,1,1,4,2,20.7,0.26,4.7,0.29,90,283,31.8,486,81,41.2,37.5,142,58.5,47.1,355,19,5.4,15,0.94,12.8
BEL-Belgian Pro League,2023-24,OH Leuven,Valentin Cojocaru,ROU,GK,27,1995,3.0,8,4,0,0,0,8.2,0.29,0.2,0.08,14,19,73.7,80,18,20.0,28.7,19,15.8,27.3,31,2,6.5,2,0.67,18.1
BEL-Belgian Pro League,2023-24,RWDM,Guillaume Hubert,BEL,GK,29,1994,0.2,1,0,0,0,1,0.0,,0.0,0.0,2,7,28.6,11,1,45.5,39.8,2,100.0,62.5,4,1,25.0,0,0.0,2.0
BEL-Belgian Pro League,2023-24,RWDM,Théo Defourny,BEL,GK,31,1992,29.8,66,12,1,13,1,68.0,0.31,3.0,0.1,196,486,40.3,659,89,52.4,39.5,229,61.6,43.3,514,11,2.1,10,0.34,9.9
BEL-Belgian Pro League,2023-24,Sint-Truiden,Daniel Schmidt,JPN,GK,31,1992,4.0,3,0,0,2,0,2.1,0.17,-0.9,-0.23,21,43,48.8,148,24,27.7,31.9,12,16.7,30.5,52,3,5.8,8,2.0,17.1
BEL-Belgian Pro League,2023-24,Sint-Truiden,Jo Coppens,BEL,GK,32,1990,4.0,8,0,0,1,0,5.6,0.4,-2.4,-0.59,9,37,24.3,185,19,18.4,25.2,14,21.4,31.9,54,4,7.4,3,0.75,12.5
BEL-Belgian Pro League,2023-24,Sint-Truiden,Zion Suzuki,JPN,GK,20,2002,22.0,35,5,0,1,0,33.7,0.29,-1.3,-0.06,107,289,37.0,900,130,27.3,30.9,101,42.6,38.0,319,38,11.9,17,0.77,10.9
BEL-Belgian Pro League,2023-24,Standard Liège,Arnaud Bodart,BEL,GK,25,1998,29.0,35,5,0,4,0,35.3,0.23,0.3,0.01,113,402,28.1,725,131,42.3,36.9,224,42.4,37.4,415,29,7.0,17,0.59,11.5
BEL-Belgian Pro League,2023-24,Standard Liège,Laurent Henkinet,BEL,GK,30,1992,1.0,6,1,0,0,0,5.0,0.44,-1.0,-1.01,0,5,0.0,30,7,16.7,25.6,2,0.0,23.0,8,0,0.0,2,2.0,16.2
BEL-Belgian Pro League,2023-24,Union SG,Anthony Moris,LUX,GK,33,1990,28.8,30,3,0,6,0,29.8,0.32,-0.2,-0.01,156,342,45.6,885,119,33.8,34.9,113,38.1,37.1,311,21,6.8,32,1.11,15.2
BEL-Belgian Pro League,2023-24,Union SG,Heinz Lindner,AUT,GK,33,1990,1.0,1,0,0,0,0,1.0,0.49,0.0,-0.02,3,4,75.0,21,1,14.3,28.0,4,25.0,21.5,9,0,0.0,0,0.0,9.0
BEL-Belgian Pro League,2023-24,Union SG,Joachim Imbrechts,SWE,GK,21,2001,0.2,0,0,0,0,0,0.2,0.19,0.2,0.83,0,1,0.0,5,3,20.0,29.8,0,,,4,0,0.0,0,0.0,
BEL-Belgian Pro League,2023-24,Westerlo,Nick Gillekens,BEL,GK,28,1995,4.0,10,0,0,1,1,6.7,0.29,-2.3,-0.57,34,66,51.5,150,19,34.7,32.6,25,56.0,41.8,73,4,5.5,10,2.5,19.6
BEL-Belgian Pro League,2023-24,Westerlo,Sinan Bolat,TUR,GK,34,1988,26.0,44,3,1,6,1,41.9,0.3,-1.1,-0.04,108,323,33.4,798,106,32.7,33.0,184,33.7,34.0,355,20,5.6,17,0.65,12.6
ENG-Premier League,2023-24,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,5,0,0,1,0,3.7,0.26,-1.3,-0.22,19,69,27.5,169,30,34.9,33.3,19,52.6,41.4,46,8,17.4,9,1.5,14.6
ENG-Premier League,2023-24,Arsenal,David Raya,ESP,GK,27,1995,32.0,24,2,1,5,1,20.4,0.26,-2.6,-0.08,138,372,37.1,969,159,32.2,30.7,96,62.5,47.5,329,40,12.2,50,1.56,17.9
ENG-Premier League,2023-24,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,33.5,48,1,0,10,4,50.6,0.37,6.6,0.2,121,332,36.4,1270,157,21.0,27.7,159,40.9,36.1,373,45,12.1,69,2.06,17.5
ENG-Premier League,2023-24,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,13,0,1,0,0,11.1,0.3,-1.9,-0.43,15,48,31.3,176,19,20.5,27.1,27,44.4,35.9,46,6,13.0,1,0.22,8.4
ENG-Premier League,2023-24,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2.0,7,0,0,3,0,2.9,0.27,-4.1,-2.04,5,15,33.3,57,10,19.3,26.9,11,36.4,29.2,19,2,10.5,0,0.0,9.6
ENG-Premier League,2023-24,Bournemouth,Mark Travers,IRL,GK,24,1999,4.0,5,1,0,0,0,5.0,0.23,0.0,0.01,22,72,30.6,92,13,55.4,41.7,26,80.8,55.6,60,3,5.0,3,0.75,14.8
ENG-Premier League,2023-24,Bournemouth,Neto,BRA,GK,34,1989,32.0,55,5,1,3,1,55.2,0.31,1.2,0.04,172,494,34.8,833,154,44.1,36.9,223,57.0,44.2,413,26,6.3,34,1.06,13.7
ENG-Premier League,2023-24,Brentford,Mark Flekken,NED,GK,30,1993,36.5,63,2,0,6,0,55.4,0.31,-7.6,-0.21,242,647,37.4,1288,131,36.6,34.5,289,60.9,46.7,568,44,7.7,37,1.01,12.6
ENG-Premier League,2023-24,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,2,0,0,0,0,1.5,0.2,-0.5,-0.3,12,30,40.0,56,5,41.1,35.8,15,46.7,39.9,37,2,5.4,1,0.67,10.0
ENG-Premier League,2023-24,Brighton,Bart Verbruggen,NED,GK,20,2002,21.0,28,3,0,3,0,25.4,0.25,-2.6,-0.12,55,142,38.7,789,117,17.1,24.4,72,9.7,15.7,232,17,7.3,31,1.48,15.8
ENG-Premier League,2023-24,Brighton,Jason Steele,ENG,GK,32,1990,17.0,34,3,1,5,2,25.7,0.32,-6.3,-0.37,47,132,35.6,617,69,20.1,26.6,54,14.8,18.8,173,7,4.0,41,2.41,20.6
ENG-Premier League,2023-24,Burnley,Arijanet Muric,KVX,GK,24,1998,10.0,16,1,0,1,1,21.7,0.26,6.7,0.67,77,219,35.2,547,54,36.4,34.3,33,60.6,45.1,143,20,14.0,31,3.1,17.2
ENG-Premier League,2023-24,Burnley,James Trafford,ENG,GK,20,2002,28.0,62,5,0,10,2,54.1,0.3,-5.9,-0.21,138,606,22.8,1332,162,33.9,31.3,198,78.3,54.2,419,30,7.2,43,1.54,15.0
ENG-Premier League,2023-24,Chelsea,Robert Sánchez,ESP,GK,25,1997,15.9,25,2,0,3,0,24.2,0.28,-0.8,-0.05,61,147,41.5,516,87,21.3,28.1,91,40.7,33.7,202,19,9.4,27,1.7,15.8
ENG-Premier League,2023-24,Chelsea,Đorđe Petrović,SRB,GK,23,1999,22.1,38,1,0,5,3,28.3,0.26,-6.7,-0.3,67,214,31.3,655,97,22.1,27.8,149,46.3,37.8,312,20,6.4,20,0.91,12.7
ENG-Premier League,2023-24,Crystal Palace,Dean Henderson,ENG,GK,26,1997,18.0,30,1,0,3,1,27.4,0.31,-1.6,-0.09,59,245,24.1,377,52,46.7,38.6,105,65.7,47.0,246,5,2.0,17,0.94,13.8
ENG-Premier League,2023-24,Crystal Palace,Remi Matthews,ENG,GK,29,1994,0.0,1,0,0,0,0,0.1,0.15,-0.9,-19.2,0,5,0.0,4,0,100.0,53.8,1,100.0,63.0,1,1,100.0,0,0.0,3.5
ENG-Premier League,2023-24,Crystal Palace,Sam Johnstone,ENG,GK,30,1993,20.0,27,2,0,4,1,20.0,0.27,-6.0,-0.3,117,355,33.0,453,63,55.0,41.2,141,75.2,52.8,339,24,7.1,12,0.6,11.2
ENG-Premier League,2023-24,Everton,Jordan Pickford,ENG,GK,29,1994,38.0,51,8,0,9,3,52.4,0.28,4.4,0.12,360,901,40.0,1297,141,56.7,41.6,273,60.8,48.3,570,30,5.3,54,1.42,15.9
ENG-Premier League,2023-24,Fulham,Bernd Leno,GER,GK,31,1992,38.0,61,8,2,3,4,55.7,0.26,-1.3,-0.03,144,439,32.8,1372,167,23.7,28.5,201,56.7,44.7,472,19,4.0,40,1.05,14.2
ENG-Premier League,2023-24,Liverpool,Alisson,BRA,GK,30,1992,28.0,30,1,0,4,1,28.7,0.26,-0.3,-0.01,60,183,32.8,1021,140,14.1,24.7,116,33.6,33.3,299,13,4.3,33,1.18,17.7
ENG-Premier League,2023-24,Liverpool,Caoimhín Kelleher,IRL,GK,24,1998,10.0,11,0,0,3,1,11.3,0.3,1.3,0.13,32,102,31.4,411,52,22.4,27.3,28,35.7,34.9,77,5,6.5,13,1.3,17.0
ENG-Premier League,2023-24,Luton Town,James Shea,ENG,GK,32,1991,0.2,0,0,0,0,0,0.1,0.06,0.1,0.75,3,6,50.0,6,1,83.3,50.8,3,33.3,37.3,3,0,0.0,1,6.0,19.0
ENG-Premier League,2023-24,Luton Town,Thomas Kaminski,BEL,GK,30,1992,37.8,85,4,0,13,4,77.6,0.34,-3.4,-0.09,271,808,33.5,1121,150,52.0,39.5,341,66.0,47.5,558,16,2.9,76,2.01,20.5
ENG-Premier League,2023-24,Manchester City,Ederson,BRA,GK,29,1993,30.9,27,3,0,2,1,27.2,0.3,1.2,0.04,114,246,46.3,1120,137,18.3,27.2,114,36.0,36.3,247,25,10.1,50,1.62,17.3
ENG-Premier League,2023-24,Manchester City,Stefan Ortega,GER,GK,30,1992,7.1,7,0,0,1,0,9.0,0.33,2.0,0.28,28,68,41.2,247,24,24.7,27.9,19,36.8,34.4,65,6,9.2,13,1.84,16.8
ENG-Premier League,2023-24,Manchester Utd,André Onana,CMR,GK,27,1996,38.0,58,7,1,11,1,59.7,0.27,2.7,0.07,149,513,29.0,1351,140,31.0,31.2,162,58.0,44.6,601,42,7.0,37,0.97,12.9
ENG-Premier League,2023-24,Newcastle Utd,Loris Karius,GER,GK,30,1993,1.0,4,0,0,1,1,2.0,0.29,-1.0,-0.99,3,18,16.7,27,5,48.1,36.3,9,55.6,41.8,10,1,10.0,3,3.0,19.5
ENG-Premier League,2023-24,Newcastle Utd,Martin Dúbravka,SVK,GK,34,1989,22.1,42,4,0,5,0,42.2,0.29,0.2,0.01,56,165,33.9,480,143,15.6,25.4,169,53.3,39.1,296,20,6.8,22,1.0,12.9
ENG-Premier League,2023-24,Newcastle Utd,Nick Pope,ENG,GK,31,1992,14.9,16,0,1,2,0,16.8,0.3,0.8,0.06,41,118,34.7,304,88,21.1,28.6,95,56.8,43.8,143,9,6.3,28,1.87,19.0
ENG-Premier League,2023-24,Nott'ham Forest,Matt Turner,USA,GK,29,1994,17.0,28,2,1,4,0,22.1,0.26,-5.9,-0.35,126,280,45.0,436,99,42.7,35.7,136,69.1,47.0,296,30,10.1,18,1.06,13.3
ENG-Premier League,2023-24,Nott'ham Forest,Matz Sels,BEL,GK,31,1992,16.0,27,1,0,9,2,17.1,0.27,-7.9,-0.5,75,179,41.9,283,51,45.9,36.6,93,52.7,41.4,222,11,5.0,4,0.25,9.4
ENG-Premier League,2023-24,Nott'ham Forest,Odysseas Vlachodimos,GRE,GK,29,1994,5.0,12,1,0,2,0,7.9,0.31,-4.1,-0.83,28,60,46.7,130,21,25.4,29.6,44,61.4,44.3,92,3,3.3,2,0.4,10.3
ENG-Premier League,2023-24,Sheffield Utd,Ivo Grbić,CRO,GK,27,1996,8.6,25,0,0,4,2,14.7,0.25,-8.3,-0.97,65,199,32.7,207,25,57.5,41.2,89,89.9,59.4,193,11,5.7,14,1.63,14.4
ENG-Premier League,2023-24,Sheffield Utd,Wes Foderingham,ENG,GK,32,1991,29.4,79,5,0,8,5,70.4,0.33,-3.6,-0.12,205,618,33.2,783,101,54.5,40.2,262,72.9,52.1,468,28,6.0,42,1.43,14.7
ENG-Premier League,2023-24,Tottenham,Guglielmo Vicario,ITA,GK,26,1996,38.0,61,7,1,8,3,60.0,0.32,2.0,0.05,53,225,23.6,1363,193,14.3,24.0,201,14.9,22.2,511,33,6.5,81,2.13,17.1
ENG-Premier League,2023-24,West Ham,Alphonse Areola,FRA,GK,30,1993,30.0,53,5,0,3,3,52.1,0.24,2.1,0.07,160,430,37.2,643,144,43.9,36.8,219,67.6,47.3,468,27,5.8,7,0.23,8.9
ENG-Premier League,2023-24,West Ham,Łukasz Fabiański,POL,GK,38,1985,8.0,21,3,0,3,1,19.8,0.33,-0.2,-0.02,50,123,40.7,182,44,50.0,39.0,56,57.1,45.1,114,8,7.0,1,0.12,7.6
ENG-Premier League,2023-24,Wolves,Daniel Bentley,ENG,GK,30,1993,4.3,7,0,0,0,0,5.8,0.39,-1.2,-0.28,13,56,23.2,111,9,36.0,33.8,33,48.5,36.9,50,0,0.0,3,0.7,13.3
ENG-Premier League,2023-24,Wolves,José Sá,POR,GK,30,1993,33.7,58,8,1,7,1,65.9,0.31,8.9,0.26,87,424,20.5,841,190,33.3,33.0,253,56.9,42.6,522,45,8.6,28,0.83,12.6
ESP-La Liga,2023-24,Alavés,Antonio Sivera,ESP,GK,26,1996,34.0,38,8,0,3,2,38.4,0.25,2.4,0.07,279,701,39.8,807,116,62.3,44.6,295,67.1,47.8,501,25,5.0,29,0.85,13.1
ESP-La Liga,2023-24,Alavés,Jesús Owono,EQG,GK,22,2001,4.0,8,0,0,1,0,6.4,0.27,-1.6,-0.4,36,77,46.8,88,9,54.5,41.7,31,93.5,66.8,29,4,13.8,8,2.0,15.2
ESP-La Liga,2023-24,Almería,Diego Mariño,ESP,GK,33,1990,1.0,2,2,0,0,0,2.1,0.02,0.1,0.05,1,5,20.0,25,6,20.0,24.1,2,0.0,16.5,6,0,0.0,2,2.0,22.7
ESP-La Liga,2023-24,Almería,Fernando,ESP,GK,33,1990,4.0,10,0,0,1,0,8.5,0.37,-1.5,-0.36,22,67,32.8,133,28,39.8,35.6,26,53.8,44.0,72,4,5.6,7,1.75,14.5
ESP-La Liga,2023-24,Almería,Luís Maximiano,POR,GK,24,1999,33.0,63,4,0,7,0,59.7,0.32,-3.3,-0.1,158,543,29.1,995,146,38.4,35.5,264,61.0,46.3,551,25,4.5,38,1.15,14.5
ESP-La Liga,2023-24,Athletic Club,Julen Agirrezabala,ESP,GK,22,2000,2.6,4,0,0,0,0,2.4,0.2,-1.6,-0.61,18,49,36.7,78,20,35.9,32.4,22,95.5,64.5,41,2,4.9,3,1.13,15.3
ESP-La Liga,2023-24,Athletic Club,Unai Simón,ESP,GK,26,1997,35.4,33,1,0,2,4,38.0,0.28,9.0,0.26,220,679,32.4,982,144,48.5,38.7,240,84.6,60.9,450,31,6.9,46,1.3,16.3
ESP-La Liga,2023-24,Atlético Madrid,Jan Oblak,SVN,GK,30,1993,38.0,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,740,180,27.6,31.5,283,46.6,38.7,579,36,6.2,22,0.58,11.8
ESP-La Liga,2023-24,Barcelona,Iñaki Peña,ESP,GK,24,1999,10.0,17,0,0,0,0,13.9,0.36,-3.1,-0.31,21,49,42.9,249,46,13.3,23.7,48,33.3,35.5,116,2,1.7,5,0.5,10.6
ESP-La Liga,2023-24,Barcelona,Marc-André ter Stegen,GER,GK,31,1992,28.0,27,2,0,1,0,27.7,0.25,0.7,0.03,92,167,55.1,871,115,14.4,26.3,163,25.8,30.9,334,13,3.9,31,1.11,15.6
ESP-La Liga,2023-24,Betis,Claudio Bravo,CHI,GK,40,1983,7.0,5,0,0,0,1,5.5,0.27,1.5,0.21,38,80,47.5,169,30,30.2,30.6,60,48.3,40.1,101,4,4.0,6,0.86,12.6
ESP-La Liga,2023-24,Betis,Fran Vieites,ESP,GK,24,1999,3.5,4,0,1,0,0,4.5,0.25,0.5,0.15,13,50,26.0,82,18,37.8,36.5,35,54.3,46.4,65,3,4.6,2,0.57,10.5
ESP-La Liga,2023-24,Betis,Rui Silva,POR,GK,29,1994,27.5,36,7,2,3,2,37.5,0.26,3.5,0.13,129,380,33.9,772,119,36.0,33.5,183,55.7,43.0,375,31,8.3,34,1.24,14.9
ESP-La Liga,2023-24,Celta Vigo,Iván Villar,ESP,GK,26,1997,11.3,18,2,0,2,1,16.3,0.31,-0.7,-0.07,39,138,28.3,223,48,35.4,34.4,98,60.2,45.7,136,5,3.7,9,0.8,13.2
ESP-La Liga,2023-24,Celta Vigo,Vicente Guaita,ESP,GK,36,1987,26.7,39,4,0,5,2,39.7,0.31,2.7,0.1,137,356,38.5,589,134,39.4,35.5,213,58.2,45.3,420,23,5.5,27,1.01,13.3
ESP-La Liga,2023-24,Cádiz,David Gil,ESP,GK,29,1994,4.1,8,0,0,0,1,5.3,0.26,-1.7,-0.4,51,125,40.8,104,8,76.9,49.3,48,93.8,63.5,91,7,7.7,0,0.0,7.0
ESP-La Liga,2023-24,Cádiz,Jeremías Ledesma,ARG,GK,30,1993,33.9,47,2,0,6,0,46.4,0.3,-0.6,-0.02,313,785,39.9,897,115,60.4,44.0,284,85.6,62.1,526,53,10.1,45,1.33,12.9
ESP-La Liga,2023-24,Getafe,Daniel Fuzato,BRA,GK,26,1997,0.1,2,0,0,1,0,1.3,0.63,-0.7,-9.63,2,7,28.6,6,1,50.0,39.2,4,100.0,71.8,5,1,20.0,0,0.0,10.7
ESP-La Liga,2023-24,Getafe,David Soria,ESP,GK,30,1993,37.9,52,5,0,6,0,53.9,0.29,1.9,0.05,339,908,37.3,979,123,66.2,45.8,310,83.9,57.3,458,17,3.7,62,1.63,17.3
ESP-La Liga,2023-24,Girona,Paulo Gazzaniga,ARG,GK,31,1992,38.0,46,5,0,8,0,51.0,0.28,5.0,0.13,155,420,36.9,1140,178,25.6,30.0,246,52.0,44.8,534,41,7.7,33,0.87,13.2
ESP-La Liga,2023-24,Granada,André Ferreira,POR,GK,27,1996,14.9,29,3,0,2,1,27.8,0.33,-0.2,-0.01,73,186,39.2,388,88,31.4,32.2,110,58.2,44.3,195,6,3.1,13,0.87,12.6
ESP-La Liga,2023-24,Granada,Augusto Batalla,ARG,GK,27,1996,17.0,28,0,0,6,0,22.6,0.27,-5.4,-0.32,127,354,35.9,566,78,45.8,39.4,122,77.9,55.9,275,23,8.4,18,1.06,14.2
ESP-La Liga,2023-24,Granada,Marc Martínez,ESP,GK,33,1990,3.0,11,2,0,3,0,12.1,0.46,1.1,0.37,17,39,43.6,74,9,33.8,33.3,24,58.3,46.3,30,0,0.0,10,3.33,23.0
