league,season,team,player,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
AUT-Bundesliga,2023-24,Austria Wien,Christian Früchtl,GER,GK,23,2000,29.0,29,5,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Mirko Kos,AUT,GK,26,1997,3.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Andreas Lukse,AUT,GK,35,1987,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Nicolas Schmid,AUT,GK,26,1997,31.0,47,5,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Hartberg,Raphael Sallinger,AUT,GK,27,1995,32.0,51,5,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,LASK,Tobias Lawal,AUT,GK,23,2000,32.0,33,3,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Alexander Schlager,AUT,GK,27,1996,28.0,24,4,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Nico Mantl,GER,GK,23,2000,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Timo Horn,GER,GK,30,1993,3.0,4,1,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Niklas Hedl,AUT,GK,22,2001,32.0,35,2,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Domenik Schierl,AUT,GK,29,1994,31.0,56,6,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SC Austria Lustenau,Simon Täubl,AUT,GK,18,2005,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,SCR Altach,Alexander Eckmayr,AUT,GK,24,1999,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
