league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Anderson,BRA,"MF,DF",26,1998,27.7,,49,,,,,,,,,,,36,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Andreas Lukse,AUT,GK,36,1987,4.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Connor Noß,IRL,"FW,MF",23,2001,7.5,,5,,,,,,,,,,,5,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Danilo Mitrović,SRB,"DF,MF",23,2001,6.9,,15,,,,,,,,,,,11,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Elias Bakatukanda,GER,DF,20,2004,8.0,,9,,,,,,,,,,,10,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Fabio Strauss,AUT,DF,29,1994,8.1,,9,,,,,,,,,,,17,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Joao Luiz,BRA,FW,25,1999,0.4,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Julian Gölles,AUT,"DF,MF",24,1999,3.5,,3,,,,,,,,,,,6,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Kristijan Dobras,AUT,"MF,FW",31,1992,15.7,,23,,,,,,,,,,,5,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Lukas Ibertsberger,AUT,MF,20,2003,1.4,,3,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Lukas Tursch,AUT,DF,28,1996,1.3,,2,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Lukinha,BRA,MF,22,2001,1.6,,1,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Manuel Maranda,AUT,DF,27,1997,32.0,,29,,,,,,,,,,,34,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Martin Moormann,AUT,DF,23,2001,19.3,,32,,,,,,,,,,,35,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Mehmet Ibrahimi,GER,FW,21,2003,0.7,,2,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Nicolas Schmid,AUT,GK,27,1997,2.0,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Oliver Wähling,ENG,MF,24,1999,3.5,,7,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Paul Mensah,GHA,"MF,FW",24,1999,5.3,,7,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Radek Vítek,,GK,20,2003,26.0,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Ronivaldo,BRA,FW,35,1989,26.6,,11,,,,,,,,,,,12,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Silvan Wallner,SUI,DF,22,2002,3.6,,3,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Simon Pirkl,AUT,"MF,DF",27,1997,26.7,,39,,,,,,,,,,,20,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Simon Seidl,AUT,"MF,FW",21,2002,20.7,,28,,,,,,,,,,,8,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Soumaïla Diabaté,MLI,MF,19,2004,25.7,,43,,,,,,,,,,,52,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Thomas Goiginger,AUT,"FW,MF",31,1993,20.3,,15,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,Grazer AK,Antonio Tikvić,CRO,DF,20,2004,13.4,,8,,,,,,,,,,,10,,,
AUT-Bundesliga,2024-25,Grazer AK,Atsushi Zaizen,JPN,MF,25,1999,4.6,,9,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,Grazer AK,Benjamin Rosenberger,AUT,"MF,DF",28,1996,17.2,,36,,,,,,,,,,,18,,,
AUT-Bundesliga,2024-25,Grazer AK,Christian Lichtenberger,AUT,"MF,FW",28,1995,21.0,,27,,,,,,,,,,,15,,,
AUT-Bundesliga,2024-25,Grazer AK,Daniel Maderner,AUT,FW,28,1995,20.9,,9,,,,,,,,,,,5,,,
AUT-Bundesliga,2024-25,Grazer AK,Dennis Dressel,GER,MF,25,1998,10.4,,10,,,,,,,,,,,20,,,
AUT-Bundesliga,2024-25,Grazer AK,Dominik Frieser,AUT,"MF,FW",30,1993,22.3,,16,,,,,,,,,,,11,,,
AUT-Bundesliga,2024-25,Grazer AK,Felix Holzhacker,AUT,MF,22,2002,0.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Grazer AK,Florian Wiegele,AUT,GK,23,2001,15.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Grazer AK,Jacob Italiano,AUS,"MF,DF",23,2001,19.1,,33,,,,,,,,,,,29,,,
AUT-Bundesliga,2024-25,Grazer AK,Jakob Meierhofer,AUT,GK,26,1997,17.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Grazer AK,Lukas Graf,AUT,DF,29,1994,10.8,,7,,,,,,,,,,,12,,,
AUT-Bundesliga,2024-25,Grazer AK,László Kleinheisler,HUN,"MF,FW",30,1994,4.4,,5,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,Grazer AK,Marco Gantschnig,AUT,DF,26,1997,8.2,,14,,,,,,,,,,,16,,,
AUT-Bundesliga,2024-25,Grazer AK,Marco Perchtold,AUT,MF,35,1988,9.0,,13,,,,,,,,,,,17,,,
AUT-Bundesliga,2024-25,Grazer AK,Martin Kreuzriegler,AUT,DF,30,1994,8.2,,4,,,,,,,,,,,11,,,
AUT-Bundesliga,2024-25,Grazer AK,Michael Cheukoua,CMR,FW,27,1997,3.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Grazer AK,Michael Lang,AUT,"DF,MF",26,1998,11.6,,22,,,,,,,,,,,18,,,
AUT-Bundesliga,2024-25,Grazer AK,Miloš Jovičić,SRB,DF,29,1995,24.4,,25,,,,,,,,,,,40,,,
AUT-Bundesliga,2024-25,Grazer AK,Murat Satin,,MF,27,1996,23.6,,38,,,,,,,,,,,35,,,
AUT-Bundesliga,2024-25,Grazer AK,Petar Filipović,GER,DF,33,1990,24.3,,5,,,,,,,,,,,53,,,
AUT-Bundesliga,2024-25,Grazer AK,Romeo Vucic,AUT,FW,21,2003,7.8,,2,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Grazer AK,Sadik Fofana,TOG,MF,21,2003,13.5,,20,,,,,,,,,,,14,,,
AUT-Bundesliga,2024-25,Grazer AK,Thomas Schiestl,AUT,MF,21,2002,4.2,,4,,,,,,,,,,,6,,,
AUT-Bundesliga,2024-25,Grazer AK,Thorsten Schriebl,AUT,MF,25,1998,11.6,,20,,,,,,,,,,,14,,,
AUT-Bundesliga,2024-25,Grazer AK,Tio Cipot,SVN,"FW,MF",21,2003,16.7,,14,,,,,,,,,,,7,,,
AUT-Bundesliga,2024-25,Grazer AK,Tobias Revelant,AUT,FW,20,2004,0.1,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Grazer AK,Zeteny Jano,AUT,"MF,FW",19,2005,8.3,,6,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Hartberg,Aaron Schwarz,AUT,MF,20,2004,2.0,,3,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Hartberg,Benjamin Markuš,SVN,MF,23,2001,23.3,,35,,,,,,,,,,,21,,,
AUT-Bundesliga,2024-25,Hartberg,Björn Hardley,NED,DF,21,2002,0.3,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Hartberg,Christoph Urdl,AUT,MF,24,1999,0.1,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Hartberg,Damjan Kovacevic,AUT,"DF,MF",19,2004,6.2,,6,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,Hartberg,Dominik Prokop,AUT,"MF,FW",27,1997,19.0,,7,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,Hartberg,Donis Avdijaj,KVX,"MF,FW",27,1996,24.7,,23,,,,,,,,,,,6,,,
AUT-Bundesliga,2024-25,Hartberg,Elias Havel,AUT,FW,21,2003,6.0,,5,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Hartberg,Emmanuel Ojukwu,AUT,DF,20,2004,0.4,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Hartberg,Fabian Wilfinger,AUT,DF,20,2003,19.0,,16,,,,,,,,,,,24,,,
AUT-Bundesliga,2024-25,Hartberg,Furkan Demir,,"DF,MF",19,2004,13.5,,18,,,,,,,,,,,7,,,
AUT-Bundesliga,2024-25,Hartberg,Jed Drew,AUS,"FW,MF",20,2003,6.2,,6,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Hartberg,Jonas Karner,AUT,MF,19,2004,0.1,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Hartberg,Justin Omoregie,AUT,"MF,DF",20,2003,12.3,,18,,,,,,,,,,,11,,,
AUT-Bundesliga,2024-25,Hartberg,Jürgen Heil,AUT,"DF,MF",27,1997,28.9,,47,,,,,,,,,,,46,,,
AUT-Bundesliga,2024-25,Hartberg,Luka Marić,AUT,GK,22,2002,1.0,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Hartberg,Manuel Pfeifer,AUT,"DF,MF",24,1999,22.5,,29,,,,,,,,,,,32,,,
AUT-Bundesliga,2024-25,Hartberg,Marco Hoffmnann,AUT,FW,16,2007,7.1,,11,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,Hartberg,Mateo Karamatić,AUT,DF,22,2001,17.7,,20,,,,,,,,,,,18,,,
AUT-Bundesliga,2024-25,Hartberg,Maximilian Fillafer,AUT,"MF,FW",19,2004,4.2,,1,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Hartberg,Muharem Huskovic,AUT,"FW,MF",21,2003,4.8,,8,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,Hartberg,Nelson Amadin,NED,MF,23,2000,1.6,,1,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Hartberg,Nelson Prenner,AUT,MF,19,2005,1.0,,1,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Hartberg,Patrik Mijić,CRO,FW,25,1998,21.8,,3,,,,,,,,,,,7,,,
AUT-Bundesliga,2024-25,Hartberg,Paul Komposch,AUT,DF,23,2001,29.4,,30,,,,,,,,,,,23,,,
AUT-Bundesliga,2024-25,Hartberg,Raphael Hofer,AUT,DF,21,2003,4.2,,9,,,,,,,,,,,7,,,
AUT-Bundesliga,2024-25,Hartberg,Raphael Sallinger,AUT,GK,28,1995,31.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Hartberg,Tobias Kainz,AUT,MF,31,1992,22.8,,24,,,,,,,,,,,19,,,
AUT-Bundesliga,2024-25,Hartberg,Youba Diarra,MLI,MF,26,1998,19.0,,30,,,,,,,,,,,39,,,
AUT-Bundesliga,2024-25,LASK,Adil Taoui,FRA,MF,22,2001,3.5,,6,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,LASK,Alexis Tibidi,FRA,MF,20,2003,0.9,,0,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,LASK,Andrés Andrade Cedeño,PAN,DF,25,1998,5.8,,10,,,,,,,,,,,7,,,
AUT-Bundesliga,2024-25,LASK,Armin Haider,AUT,FW,18,2005,0.2,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,LASK,Armin Midzic,AUT,DF,18,2006,0.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,LASK,Branko Jovičić,SRB,"MF,DF",31,1993,24.8,,28,,,,,,,,,,,28,,,
AUT-Bundesliga,2024-25,LASK,Christoph Lang,AUT,"MF,FW",22,2002,7.9,,3,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,LASK,Emmanuel Michael,NGA,DF,18,2006,0.1,,0,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,LASK,Enis Safin,,MF,20,2004,1.6,,0,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,LASK,Filip Stojković,MNE,DF,31,1993,11.9,,18,,,,,,,,,,,15,,,
AUT-Bundesliga,2024-25,LASK,Florian Flecker,AUT,MF,28,1995,11.6,,14,,,,,,,,,,,9,,,
AUT-Bundesliga,2024-25,LASK,George Bello,USA,"DF,MF",22,2002,27.1,,39,,,,,,,,,,,31,,,
AUT-Bundesliga,2024-25,LASK,Hrvoje Smolčić,CRO,DF,23,2000,17.4,,18,,,,,,,,,,,33,,,
AUT-Bundesliga,2024-25,LASK,Ibrahim Mustapha,GHA,MF,24,2000,1.4,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,LASK,Ismaila Cheick Coulibaly,MLI,MF,23,2000,7.4,,17,,,,,,,,,,,7,,,
AUT-Bundesliga,2024-25,LASK,Ivan Ljubic,AUT,MF,28,1996,10.9,,11,,,,,,,,,,,9,,,
AUT-Bundesliga,2024-25,LASK,Jérôme Boateng,GER,DF,35,1988,4.5,,4,,,,,,,,,,,5,,,
AUT-Bundesliga,2024-25,LASK,Jörg Siebenhandl,AUT,GK,34,1990,9.9,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,LASK,Kevin Lebersorger,AUT,FW,19,2005,0.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,LASK,Kryštof Daněk,CZE,"MF,FW",21,2003,9.1,,10,,,,,,,,,,,5,,,
AUT-Bundesliga,2024-25,LASK,Lenny Pintor,FRA,MF,23,2000,2.9,,6,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,LASK,Lukas Jungwirth,AUT,GK,20,2004,2.5,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,LASK,Maksym Talovierov,UKR,DF,24,2000,7.0,,6,,,,,,,,,,,8,,,
AUT-Bundesliga,2024-25,LASK,Marco Sulzner,AUT,"DF,MF",21,2003,2.7,,5,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,LASK,Marin Ljubicic,CRO,FW,22,2002,11.5,,2,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,LASK,Maximilian Entrup,AUT,FW,27,1997,19.8,,10,,,,,,,,,,,5,,,
AUT-Bundesliga,2024-25,LASK,Melayro Bogarde,NED,"DF,MF",22,2002,17.6,,40,,,,,,,,,,,32,,,
AUT-Bundesliga,2024-25,LASK,Modou Cissé,SEN,DF,18,2005,7.3,,16,,,,,,,,,,,8,,,
AUT-Bundesliga,2024-25,LASK,Mohamed Sanogo,MLI,MF,20,2003,0.7,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,LASK,Moses Usor,NGA,MF,22,2002,7.3,,7,,,,,,,,,,,8,,,
AUT-Bundesliga,2024-25,LASK,Nael Kane,CAN,FW,18,2006,0.5,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,LASK,Oumar Diallo,CAN,FW,19,2005,0.1,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,LASK,Philipp Ziereis,GER,DF,31,1993,24.2,,20,,,,,,,,,,,25,,,
AUT-Bundesliga,2024-25,LASK,Queyrell Tchicamboud,FRA,MF,18,2005,0.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,LASK,René Renner,AUT,DF,30,1993,0.7,,1,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,LASK,Robert Žulj,AUT,"MF,FW",32,1992,22.2,,15,,,,,,,,,,,6,,,
AUT-Bundesliga,2024-25,LASK,Samuel Adeniran,USA,FW,25,1998,6.3,,2,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,LASK,Sascha Horvath,AUT,MF,27,1996,24.3,,45,,,,,,,,,,,25,,,
AUT-Bundesliga,2024-25,LASK,Tobias Lawal,AUT,GK,24,2000,17.6,,0,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,LASK,Tobias Schützenauer,AUT,GK,27,1997,2.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,LASK,Tomas Galvez,FIN,MF,19,2005,1.0,,0,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,LASK,Tomás Tavares,POR,MF,23,2001,0.7,,4,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,LASK,Valon Berisha,KVX,MF,31,1993,15.7,,16,,,,,,,,,,,16,,,
AUT-Bundesliga,2024-25,RB Salzburg,Adam Daghim,DEN,FW,18,2005,19.4,,11,,,,,,,,,,,14,,,
AUT-Bundesliga,2024-25,RB Salzburg,Aleksa Terzić,SRB,DF,24,1999,18.1,,18,,,,,,,,,,,12,,,
AUT-Bundesliga,2024-25,RB Salzburg,Alexander Schlager,AUT,GK,28,1996,21.0,,0,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,RB Salzburg,Amar Dedić,BIH,DF,21,2002,8.7,,4,,,,,,,,,,,5,,,
AUT-Bundesliga,2024-25,RB Salzburg,Bobby Clark,ENG,"MF,FW",19,2005,7.1,,6,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,RB Salzburg,Daouda Guindo,MLI,DF,21,2002,5.3,,8,,,,,,,,,,,6,,,
AUT-Bundesliga,2024-25,RB Salzburg,Edmund Baidoo,GHA,"MF,FW",18,2006,5.3,,7,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,RB Salzburg,Hendry Blank,GER,DF,19,2004,5.4,,15,,,,,,,,,,,20,,,
AUT-Bundesliga,2024-25,RB Salzburg,Ignace Van Der Brempt,BEL,DF,22,2002,0.7,,1,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,RB Salzburg,Janis Blaswich,GER,GK,33,1991,11.0,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,RB Salzburg,Jannik Schuster,AUT,DF,18,2006,0.2,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,RB Salzburg,John Mellberg,SWE,DF,18,2006,3.2,,8,,,,,,,,,,,8,,,
AUT-Bundesliga,2024-25,RB Salzburg,Kamil Piątkowski,POL,DF,24,2000,11.8,,15,,,,,,,,,,,16,,,
AUT-Bundesliga,2024-25,RB Salzburg,Karim Konaté,CIV,FW,20,2004,8.4,,1,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,RB Salzburg,Karim Onisiwo,AUT,FW,32,1992,6.4,,1,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,RB Salzburg,Kouakou Gadou,FRA,DF,17,2007,17.5,,16,,,,,,,,,,,25,,,
AUT-Bundesliga,2024-25,RB Salzburg,Leandro Morgalla,GER,DF,19,2004,9.9,,9,,,,,,,,,,,12,,,
AUT-Bundesliga,2024-25,RB Salzburg,Lucas Gourna-Douath,FRA,MF,20,2003,4.8,,6,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,RB Salzburg,Mads Bidstrup,DEN,MF,23,2001,24.8,,58,,,,,,,,,,,37,,,
AUT-Bundesliga,2024-25,RB Salzburg,Mamady Diambou,MLI,MF,21,2002,9.6,,19,,,,,,,,,,,7,,,
AUT-Bundesliga,2024-25,RB Salzburg,Maurits Kjærgaard,DEN,"MF,DF",21,2003,3.9,,4,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,RB Salzburg,Maximiliano Caufriez,BEL,DF,27,1997,1.6,,1,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,RB Salzburg,Moussa Kounfolo Yeo,MLI,"MF,FW",20,2004,14.5,,17,,,,,,,,,,,12,,,
AUT-Bundesliga,2024-25,RB Salzburg,Nene Dorgeles,MLI,"MF,FW",21,2002,22.8,,24,,,,,,,,,,,17,,,
AUT-Bundesliga,2024-25,RB Salzburg,Nicolás Capaldo,ARG,"MF,DF",26,1997,19.4,,28,,,,,,,,,,,19,,,
AUT-Bundesliga,2024-25,RB Salzburg,Oscar Gloukh,ISR,MF,20,2004,21.5,,12,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,RB Salzburg,Petar Ratkov,SRB,FW,20,2003,8.4,,2,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,RB Salzburg,Samson Baidoo,AUT,DF,20,2004,29.0,,42,,,,,,,,,,,29,,,
AUT-Bundesliga,2024-25,RB Salzburg,Stefan Bajcetic,ESP,MF,19,2004,6.8,,14,,,,,,,,,,,8,,,
AUT-Bundesliga,2024-25,RB Salzburg,Takumu Kawamura,JPN,MF,24,1999,2.8,,4,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,RB Salzburg,Tim Trummer,AUT,DF,18,2005,5.0,,8,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,RB Salzburg,Valentin Sulzbacher,AUT,MF,19,2005,3.6,,7,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,RB Salzburg,Yorbe Vertessen,BEL,"FW,MF",23,2001,13.7,,9,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,Rapid Wien,Amin-Elias Gröller,AUT,DF,19,2005,1.0,,0,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Rapid Wien,Andrija Radulović,MNE,"MF,FW",22,2002,4.9,,7,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,Rapid Wien,Ange Ahoussou,CIV,DF,20,2003,8.7,,8,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Rapid Wien,Bendegúz Bolla,HUN,DF,24,1999,29.8,,27,,,,,,,,,,,28,,,
AUT-Bundesliga,2024-25,Rapid Wien,Benjamin Böckle,AUT,DF,22,2002,4.9,,5,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,Rapid Wien,Christoph Lang,AUT,"MF,FW",22,2002,3.4,,3,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Rapid Wien,Dennis Kaygin,GER,MF,20,2004,4.1,,9,,,,,,,,,,,7,,,
AUT-Bundesliga,2024-25,Rapid Wien,Dion Drena Beljo,CRO,FW,22,2002,24.2,,10,,,,,,,,,,,4,,,
AUT-Bundesliga,2024-25,Rapid Wien,Dominic Vincze,AUT,DF,20,2004,3.9,,4,,,,,,,,,,,3,,,
AUT-Bundesliga,2024-25,Rapid Wien,Ercan Kara,AUT,FW,28,1996,6.1,,8,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,Rapid Wien,Furkan Dursun,AUT,FW,19,2005,1.2,,0,,,,,,,,,,,0,,,
AUT-Bundesliga,2024-25,Rapid Wien,Guido Burgstaller,AUT,FW,35,1989,13.3,,8,,,,,,,,,,,2,,,
AUT-Bundesliga,2024-25,Rapid Wien,Isak Jansson,SWE,"MF,FW",22,2002,17.3,,15,,,,,,,,,,,10,,,
AUT-Bundesliga,2024-25,Rapid Wien,Ismaïl Seydi,FRA,FW,23,2001,0.2,,1,,,,,,,,,,,1,,,
AUT-Bundesliga,2024-25,Rapid Wien,Jakob Schöller,AUT,DF,18,2005,4.4,,8,,,,,,,,,,,6,,,
