league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
AUT-Bundesliga,2023-24,LASK,Marin Ljubicic,CRO,FW,21,2002,22.8,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,LASK,Moses Usor,NGA,"FW,MF",21,2002,23.2,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,LASK,Moussa Koné,SEN,FW,26,1996,3.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,LASK,Peter Michorl,AUT,MF,28,1995,4.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,LASK,Philipp Ziereis,GER,DF,30,1993,28.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,LASK,René Renner,AUT,"MF,DF",29,1993,7.9,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,LASK,Robert Žulj,AUT,"FW,MF",31,1992,16.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,LASK,Sanoussy Ba,GER,MF,19,2004,3.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,LASK,Sascha Horvath,AUT,MF,26,1996,22.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,LASK,Thomas Goiginger,AUT,"MF,FW",30,1993,4.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,LASK,Tobias Lawal,AUT,GK,23,2000,32.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,LASK,Valon Berisha,KVX,MF,30,1993,11.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Adam Daghim,DEN,FW,17,2005,0.3,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Aleksa Terzić,SRB,DF,23,1999,12.9,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Alexander Schlager,AUT,GK,27,1996,28.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Amankwah Forson,GHA,"MF,FW",20,2002,13.3,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Amar Dedić,BIH,DF,20,2002,17.9,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Andreas Ulmer,AUT,"DF,MF",37,1985,6.2,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Daouda Guindo,MLI,DF,20,2002,13.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Dijon Kameri,AUT,MF,19,2004,1.8,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Fernando,BRA,FW,24,1999,6.1,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Flavius Daniliuc,AUT,DF,22,2001,9.3,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Kamil Piątkowski,POL,DF,23,2000,4.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Karim Konaté,CIV,FW,19,2004,20.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Leandro Morgalla,GER,DF,18,2004,1.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Lucas Gourna-Douath,FRA,MF,19,2003,20.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Luka Sučić,CRO,"MF,FW",20,2002,16.9,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Mads Bidstrup,DEN,MF,22,2001,21.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Mamady Diambou,MLI,MF,20,2002,7.7,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Maurits Kjærgaard,DEN,"MF,DF",20,2003,14.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Moussa Kounfolo Yeo,MLI,MF,19,2004,0.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Nene Dorgeles,MLI,FW,20,2002,9.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Nico Mantl,GER,GK,23,2000,1.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Nicolás Capaldo,ARG,"MF,DF",25,1997,6.3,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Oscar Gloukh,ISR,"FW,MF",19,2004,21.6,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Oumar Solet,FRA,DF,23,2000,17.9,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Petar Ratkov,SRB,FW,19,2003,13.2,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Roko Simic,CRO,FW,19,2003,14.7,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Samson Baidoo,AUT,DF,19,2004,15.6,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Sekou Koita,MLI,"FW,MF",23,1999,7.5,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Strahinja Pavlović,SRB,DF,22,2001,25.4,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,RB Salzburg,Timo Horn,GER,GK,30,1993,3.0,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Ante Bajic,AUT,MF,27,1995,2.6,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Christoph Lang,AUT,MF,21,2002,10.8,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Dennis Kaygin,GER,MF,19,2004,1.7,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Dominic Vincze,AUT,DF,19,2004,0.6,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Fally Mayulu,FRA,FW,21,2002,12.9,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Furkan Dursun,AUT,FW,18,2005,1.2,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2023-24,Rapid Wien,Guido Burgstaller,AUT,FW,34,1989,16.6,,,,,,,,,,,,,,,,,,,,,,
