league,season,team,player,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
AUT-Bundesliga,2024-25,Austria Wien,Moritz Wels,AUT,MF,19,2004,1.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Muharem Huskovic,AUT,FW,21,2003,1.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Nik Prelec,SVN,FW,23,2001,26.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Philipp Maybach,AUT,MF,16,2007,2.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Philipp Wiesinger,AUT,DF,30,1994,18.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Reinhold Ranftl,AUT,"MF,DF",32,1992,30.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Samuel Şahin-Radlinger,AUT,GK,31,1992,32.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Tin Plavotic,AUT,DF,27,1997,18.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alem Pašić,SVN,"DF,MF",26,1997,21.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alexander Briedl,AUT,MF,22,2002,22.3,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alexander Schmidt,AUT,"FW,MF",26,1998,8.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Anderson,BRA,"MF,DF",26,1998,27.7,,,,,,,,,,,,,,,,
