league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Danilo Mitrović,SRB,"DF,MF",23,2001,6.9,1,0,0,4,2,1,3,11,15,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Elias Bakatukanda,GER,DF,20,2004,8.0,1,0,0,8,2,0,1,10,9,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Fabio Strauss,AUT,DF,29,1994,8.1,1,1,0,12,5,0,3,17,9,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Joao Luiz,BRA,FW,25,1999,0.4,0,0,0,0,0,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Julian Gölles,AUT,"DF,MF",24,1999,3.5,0,0,0,3,4,0,13,6,3,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Kristijan Dobras,AUT,"MF,FW",31,1992,15.7,2,0,0,14,27,3,59,5,23,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Lukas Ibertsberger,AUT,MF,20,2003,1.4,0,0,0,1,0,0,4,2,3,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Lukas Tursch,AUT,DF,28,1996,1.3,1,0,0,2,0,0,0,3,2,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Lukinha,BRA,MF,22,2001,1.6,0,0,0,4,1,0,1,3,1,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Manuel Maranda,AUT,DF,27,1997,32.0,2,0,0,16,17,2,4,34,29,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Martin Moormann,AUT,DF,23,2001,19.3,5,0,0,15,11,0,6,35,32,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Mehmet Ibrahimi,GER,FW,21,2003,0.7,0,0,0,1,0,0,1,0,2,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Nicolas Schmid,AUT,GK,27,1997,2.0,0,0,0,0,0,0,0,0,1,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Oliver Wähling,ENG,MF,24,1999,3.5,0,0,0,7,6,0,3,3,7,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Paul Mensah,GHA,"MF,FW",24,1999,5.3,3,1,0,10,12,2,9,4,7,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Radek Vítek,,GK,20,2003,26.0,2,0,0,0,5,0,0,0,1,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Ronivaldo,BRA,FW,35,1989,26.6,6,0,0,38,39,24,3,12,11,,,1,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Silvan Wallner,SUI,DF,22,2002,3.6,1,0,0,3,1,0,3,2,3,,,1,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Simon Pirkl,AUT,"MF,DF",27,1997,26.7,4,1,0,26,16,0,81,20,39,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Simon Seidl,AUT,"MF,FW",21,2002,20.7,3,0,0,32,26,8,15,8,28,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Soumaïla Diabaté,MLI,MF,19,2004,25.7,8,0,0,41,43,0,10,52,43,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Thomas Goiginger,AUT,"FW,MF",31,1993,20.3,3,0,0,17,14,8,85,3,15,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Antonio Tikvić,CRO,DF,20,2004,13.4,5,0,0,12,2,0,5,10,8,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Atsushi Zaizen,JPN,MF,25,1999,4.6,3,0,0,18,14,1,1,3,9,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Benjamin Rosenberger,AUT,"MF,DF",28,1996,17.2,7,0,0,33,11,0,61,18,36,,,1,,,,
AUT-Bundesliga,2024-25,Grazer AK,Christian Lichtenberger,AUT,"MF,FW",28,1995,21.0,6,0,0,27,29,4,74,15,27,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Daniel Maderner,AUT,FW,28,1995,20.9,6,0,0,58,26,12,18,5,9,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Dennis Dressel,GER,MF,25,1998,10.4,3,0,0,12,15,1,1,20,10,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Dominik Frieser,AUT,"MF,FW",30,1993,22.3,2,0,0,10,14,5,45,11,16,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Felix Holzhacker,AUT,MF,22,2002,0.0,0,0,0,0,0,0,1,0,0,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Florian Wiegele,AUT,GK,23,2001,15.0,0,0,0,0,1,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Jacob Italiano,AUS,"MF,DF",23,2001,19.1,4,0,0,20,23,0,58,29,33,,,1,,,,
AUT-Bundesliga,2024-25,Grazer AK,Jakob Meierhofer,AUT,GK,26,1997,17.0,1,0,0,1,1,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Lukas Graf,AUT,DF,29,1994,10.8,3,0,0,7,4,0,0,12,7,,,1,,,,
AUT-Bundesliga,2024-25,Grazer AK,László Kleinheisler,HUN,"MF,FW",30,1994,4.4,2,0,0,5,7,1,2,2,5,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Marco Gantschnig,AUT,DF,26,1997,8.2,3,0,0,11,5,4,1,16,14,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Marco Perchtold,AUT,MF,35,1988,9.0,4,2,1,15,4,1,4,17,13,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Martin Kreuzriegler,AUT,DF,30,1994,8.2,3,0,0,10,1,0,1,11,4,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Michael Cheukoua,CMR,FW,27,1997,3.0,2,0,0,5,6,3,1,0,0,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Michael Lang,AUT,"DF,MF",26,1998,11.6,3,1,1,13,11,0,39,18,22,,,1,,,,
AUT-Bundesliga,2024-25,Grazer AK,Miloš Jovičić,SRB,DF,29,1995,24.4,8,1,0,25,15,3,1,40,25,,,2,,,,
AUT-Bundesliga,2024-25,Grazer AK,Murat Satin,,MF,27,1996,23.6,4,0,0,28,23,0,121,35,38,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Petar Filipović,GER,DF,33,1990,24.3,6,2,2,14,6,2,1,53,5,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Romeo Vucic,AUT,FW,21,2003,7.8,1,0,0,13,3,0,4,1,2,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Sadik Fofana,TOG,MF,21,2003,13.5,6,0,0,26,7,0,0,14,20,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Thomas Schiestl,AUT,MF,21,2002,4.2,0,1,0,8,4,0,9,6,4,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Thorsten Schriebl,AUT,MF,25,1998,11.6,6,2,1,25,12,0,30,14,20,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Tio Cipot,SVN,"FW,MF",21,2003,16.7,4,0,0,16,39,9,25,7,14,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Tobias Revelant,AUT,FW,20,2004,0.1,0,0,0,2,0,0,2,0,0,,,0,,,,
AUT-Bundesliga,2024-25,Grazer AK,Zeteny Jano,AUT,"MF,FW",19,2005,8.3,3,0,0,12,11,0,21,1,6,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Aaron Schwarz,AUT,MF,20,2004,2.0,0,0,0,4,1,2,9,0,3,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Benjamin Markuš,SVN,MF,23,2001,23.3,5,0,0,30,23,0,2,21,35,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Björn Hardley,NED,DF,21,2002,0.3,0,0,0,0,0,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Christoph Urdl,AUT,MF,24,1999,0.1,0,0,0,0,0,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Damjan Kovacevic,AUT,"DF,MF",19,2004,6.2,1,0,0,11,4,0,16,3,6,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Dominik Prokop,AUT,"MF,FW",27,1997,19.0,4,0,0,21,48,3,49,4,7,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Donis Avdijaj,KVX,"MF,FW",27,1996,24.7,4,0,0,24,35,17,31,6,23,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Elias Havel,AUT,FW,21,2003,6.0,2,0,0,10,9,1,3,1,5,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Emmanuel Ojukwu,AUT,DF,20,2004,0.4,0,0,0,1,0,0,0,0,1,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Fabian Wilfinger,AUT,DF,20,2003,19.0,6,0,0,18,13,0,1,24,16,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Furkan Demir,,"DF,MF",19,2004,13.5,11,1,1,24,19,0,35,7,18,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Jed Drew,AUS,"FW,MF",20,2003,6.2,0,0,0,5,4,3,18,0,6,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Jonas Karner,AUT,MF,19,2004,0.1,0,0,0,0,0,0,1,0,1,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Justin Omoregie,AUT,"MF,DF",20,2003,12.3,5,0,0,18,12,1,12,11,18,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Jürgen Heil,AUT,"DF,MF",27,1997,28.9,5,0,0,33,39,2,51,46,47,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Luka Marić,AUT,GK,22,2002,1.0,0,0,0,0,0,0,0,0,1,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Manuel Pfeifer,AUT,"DF,MF",24,1999,22.5,3,0,0,11,22,1,92,32,29,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Marco Hoffmnann,AUT,FW,16,2007,7.1,2,0,0,17,7,7,5,2,11,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Mateo Karamatić,AUT,DF,22,2001,17.7,4,0,0,19,29,0,2,18,20,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Maximilian Fillafer,AUT,"MF,FW",19,2004,4.2,1,0,0,10,12,1,5,1,1,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Muharem Huskovic,AUT,"FW,MF",21,2003,4.8,0,0,0,6,5,2,2,4,8,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Nelson Amadin,NED,MF,23,2000,1.6,0,0,0,0,2,0,13,1,1,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Nelson Prenner,AUT,MF,19,2005,1.0,1,0,0,3,0,0,0,1,1,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Patrik Mijić,CRO,FW,25,1998,21.8,1,0,0,20,30,11,2,7,3,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Paul Komposch,AUT,DF,23,2001,29.4,8,1,1,16,8,0,2,23,30,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Raphael Hofer,AUT,DF,21,2003,4.2,3,1,1,6,1,1,15,7,9,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Raphael Sallinger,AUT,GK,28,1995,31.0,3,0,0,1,1,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Tobias Kainz,AUT,MF,31,1992,22.8,6,1,1,20,17,0,93,19,24,,,0,,,,
AUT-Bundesliga,2024-25,Hartberg,Youba Diarra,MLI,MF,26,1998,19.0,8,1,1,37,23,0,17,39,30,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Adil Taoui,FRA,MF,22,2001,3.5,3,0,0,9,4,0,25,1,6,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Alexis Tibidi,FRA,MF,20,2003,0.9,1,0,0,1,3,0,0,2,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Andrés Andrade Cedeño,PAN,DF,25,1998,5.8,1,1,0,7,1,0,3,7,10,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Armin Haider,AUT,FW,18,2005,0.2,0,0,0,1,3,0,1,0,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Armin Midzic,AUT,DF,18,2006,0.0,0,0,0,1,0,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Branko Jovičić,SRB,"MF,DF",31,1993,24.8,8,0,0,31,6,0,52,28,28,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Christoph Lang,AUT,"MF,FW",22,2002,7.9,1,0,0,6,7,4,12,3,3,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Emmanuel Michael,NGA,DF,18,2006,0.1,0,0,0,0,0,0,1,1,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Enis Safin,,MF,20,2004,1.6,0,0,0,2,1,0,1,1,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Filip Stojković,MNE,DF,31,1993,11.9,3,1,0,17,12,1,19,15,18,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Florian Flecker,AUT,MF,28,1995,11.6,5,0,0,26,8,3,32,9,14,,,0,,,,
AUT-Bundesliga,2024-25,LASK,George Bello,USA,"DF,MF",22,2002,27.1,5,0,0,18,41,6,99,31,39,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Hrvoje Smolčić,CRO,DF,23,2000,17.4,4,0,0,11,14,0,7,33,18,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Ibrahim Mustapha,GHA,MF,24,2000,1.4,0,0,0,3,1,0,1,0,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Ismaila Cheick Coulibaly,MLI,MF,23,2000,7.4,3,0,0,14,4,0,1,7,17,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Ivan Ljubic,AUT,MF,28,1996,10.9,3,0,0,16,5,0,12,9,11,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Jérôme Boateng,GER,DF,35,1988,4.5,1,0,0,1,2,0,2,5,4,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Jörg Siebenhandl,AUT,GK,34,1990,9.9,0,0,0,0,3,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Kevin Lebersorger,AUT,FW,19,2005,0.0,0,0,0,0,0,0,1,0,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Kryštof Daněk,CZE,"MF,FW",21,2003,9.1,0,0,0,10,15,0,12,5,10,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Lenny Pintor,FRA,MF,23,2000,2.9,0,0,0,6,6,1,4,3,6,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Lukas Jungwirth,AUT,GK,20,2004,2.5,0,0,0,0,1,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Maksym Talovierov,UKR,DF,24,2000,7.0,1,0,0,2,3,0,2,8,6,,,1,,,,
AUT-Bundesliga,2024-25,LASK,Marco Sulzner,AUT,"DF,MF",21,2003,2.7,1,0,0,3,4,0,1,4,5,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Marin Ljubicic,CRO,FW,22,2002,11.5,3,0,0,16,11,4,2,2,2,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Maximilian Entrup,AUT,FW,27,1997,19.8,3,0,0,11,10,10,10,5,10,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Melayro Bogarde,NED,"DF,MF",22,2002,17.6,5,1,1,21,34,1,4,32,40,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Modou Cissé,SEN,DF,18,2005,7.3,4,0,0,9,3,0,1,8,16,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Mohamed Sanogo,MLI,MF,20,2003,0.7,0,0,0,3,2,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Moses Usor,NGA,MF,22,2002,7.3,0,0,0,4,6,2,31,8,7,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Nael Kane,CAN,FW,18,2006,0.5,0,0,0,1,0,0,0,0,1,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Oumar Diallo,CAN,FW,19,2005,0.1,0,0,0,0,0,0,0,0,1,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Philipp Ziereis,GER,DF,31,1993,24.2,6,0,0,22,19,1,0,25,20,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Queyrell Tchicamboud,FRA,MF,18,2005,0.0,0,0,0,0,1,1,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,René Renner,AUT,DF,30,1993,0.7,0,0,0,0,2,0,0,1,1,,,1,,,,
AUT-Bundesliga,2024-25,LASK,Robert Žulj,AUT,"MF,FW",32,1992,22.2,1,0,0,22,28,5,114,6,15,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Samuel Adeniran,USA,FW,25,1998,6.3,4,0,0,12,8,7,4,1,2,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Sascha Horvath,AUT,MF,27,1996,24.3,1,1,0,20,31,0,79,25,45,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Tobias Lawal,AUT,GK,24,2000,17.6,0,0,0,0,5,0,0,1,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Tobias Schützenauer,AUT,GK,27,1997,2.0,0,0,0,0,1,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Tomas Galvez,FIN,MF,19,2005,1.0,0,0,0,0,0,0,2,1,0,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Tomás Tavares,POR,MF,23,2001,0.7,0,0,0,0,0,0,2,1,4,,,0,,,,
AUT-Bundesliga,2024-25,LASK,Valon Berisha,KVX,MF,31,1993,15.7,2,0,0,11,19,0,40,16,16,,,1,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Adam Daghim,DEN,FW,18,2005,19.4,3,0,0,19,19,5,37,14,11,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Aleksa Terzić,SRB,DF,24,1999,18.1,1,0,0,6,12,4,178,12,18,,,1,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Alexander Schlager,AUT,GK,28,1996,21.0,3,0,0,0,1,0,0,2,0,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Amar Dedić,BIH,DF,21,2002,8.7,1,0,0,5,5,0,11,5,4,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Bobby Clark,ENG,"MF,FW",19,2005,7.1,2,0,0,14,8,0,25,4,6,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Daouda Guindo,MLI,DF,21,2002,5.3,1,0,0,5,5,0,19,6,8,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Edmund Baidoo,GHA,"MF,FW",18,2006,5.3,0,0,0,5,5,1,40,2,7,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Hendry Blank,GER,DF,19,2004,5.4,1,0,0,4,4,1,8,20,15,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Ignace Van Der Brempt,BEL,DF,22,2002,0.7,0,0,0,0,0,0,0,2,1,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Janis Blaswich,GER,GK,33,1991,11.0,0,0,0,0,2,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Jannik Schuster,AUT,DF,18,2006,0.2,0,0,0,0,0,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,John Mellberg,SWE,DF,18,2006,3.2,0,0,0,1,2,0,3,8,8,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Kamil Piątkowski,POL,DF,24,2000,11.8,2,0,0,7,6,0,1,16,15,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Karim Konaté,CIV,FW,20,2004,8.4,0,0,0,6,6,2,4,1,1,,,1,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Karim Onisiwo,AUT,FW,32,1992,6.4,0,0,0,11,8,1,8,0,1,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Kouakou Gadou,FRA,DF,17,2007,17.5,1,1,0,15,1,0,2,25,16,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Leandro Morgalla,GER,DF,19,2004,9.9,0,0,0,11,6,0,21,12,9,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Lucas Gourna-Douath,FRA,MF,20,2003,4.8,4,0,0,11,15,0,1,3,6,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Mads Bidstrup,DEN,MF,23,2001,24.8,5,0,0,24,42,0,23,37,58,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Mamady Diambou,MLI,MF,21,2002,9.6,4,0,0,18,16,2,0,7,19,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Maurits Kjærgaard,DEN,"MF,DF",21,2003,3.9,0,0,0,0,1,0,14,2,4,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Maximiliano Caufriez,BEL,DF,27,1997,1.6,0,0,0,6,0,0,0,3,1,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Moussa Kounfolo Yeo,MLI,"MF,FW",20,2004,14.5,6,0,0,24,14,10,23,12,17,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Nene Dorgeles,MLI,"MF,FW",21,2002,22.8,1,0,0,15,24,4,46,17,24,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Nicolás Capaldo,ARG,"MF,DF",26,1997,19.4,5,0,0,29,33,0,34,19,28,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Oscar Gloukh,ISR,MF,20,2004,21.5,0,0,0,9,16,5,100,3,12,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Petar Ratkov,SRB,FW,20,2003,8.4,1,0,0,11,10,7,0,2,2,,,0,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Samson Baidoo,AUT,DF,20,2004,29.0,5,1,1,19,9,0,2,29,42,,,0,,,,
