league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
AUT-Bundesliga,2024-25,Austria Wien,Abubakr Barry,GAM,MF,24,2000,23.9,8,0,0,42,42,1,26,23,52,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Aleksandar Dragović,AUT,DF,33,1991,27.9,8,0,0,19,18,1,1,39,19,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Andreas Gruber,AUT,"MF,FW",29,1995,14.7,2,0,0,18,17,3,38,4,6,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Cristiano,BRA,MF,22,2001,1.1,1,0,0,3,2,0,6,0,1,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,David Ewemade,NGA,DF,19,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Dominik Fitz,AUT,"MF,FW",25,1999,29.2,11,0,0,29,46,2,342,12,29,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Florian Wustinger,AUT,MF,21,2003,0.3,0,0,0,1,0,0,3,0,1,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Hakim Guenouche,FRA,"DF,MF",24,2000,10.1,2,0,0,8,14,0,37,15,12,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Johannes Handl,AUT,DF,26,1998,11.6,1,0,0,10,12,0,4,11,18,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Konstantin Aleksa,AUT,FW,17,2007,0.9,0,0,0,2,2,1,2,0,2,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Luca Pazourek,AUT,DF,19,2005,0.2,0,0,0,1,0,0,1,0,3,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Lucas Galvão,BRA,DF,33,1991,16.2,8,0,0,21,6,0,4,21,20,,,1,,,,
AUT-Bundesliga,2024-25,Austria Wien,Manfred Fischer,AUT,MF,28,1995,28.3,6,0,0,41,22,3,21,40,48,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Marko Raguž,AUT,FW,26,1998,3.0,1,0,0,3,11,3,2,1,2,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Marvin Potzmann,AUT,"MF,DF",30,1993,4.9,3,0,0,17,2,0,7,5,9,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Marvin da Graça,LUX,DF,29,1995,0.3,1,0,0,0,0,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Matteo Perez Vinlöf,SWE,"MF,DF",18,2005,21.2,8,0,0,30,26,2,63,13,21,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Maurice Malone,GER,"FW,MF",23,2000,27.7,6,0,0,33,32,13,52,2,18,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Moritz Wels,AUT,MF,19,2004,1.8,0,0,0,5,0,1,1,1,3,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Muharem Huskovic,AUT,FW,21,2003,1.3,0,0,0,4,3,2,0,0,3,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Nik Prelec,SVN,FW,23,2001,26.4,5,0,0,34,32,9,16,4,11,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Philipp Maybach,AUT,MF,16,2007,2.6,2,0,0,5,0,0,1,1,2,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Philipp Wiesinger,AUT,DF,30,1994,18.2,6,0,0,14,19,0,4,33,31,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Reinhold Ranftl,AUT,"MF,DF",32,1992,30.0,6,1,1,27,44,2,113,32,36,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Samuel Şahin-Radlinger,AUT,GK,31,1992,32.0,1,0,0,0,4,0,0,1,0,,,0,,,,
AUT-Bundesliga,2024-25,Austria Wien,Tin Plavotic,AUT,DF,27,1997,18.3,3,0,0,19,7,0,2,33,29,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alem Pašić,SVN,"DF,MF",26,1997,21.8,6,0,0,49,11,0,12,35,40,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alexander Briedl,AUT,MF,22,2002,22.3,6,0,0,35,28,2,63,21,43,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alexander Schmidt,AUT,"FW,MF",26,1998,8.6,2,0,0,16,9,3,7,8,7,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Anderson,BRA,"MF,DF",26,1998,27.7,3,0,0,26,12,5,100,36,49,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Andreas Lukse,AUT,GK,36,1987,4.0,0,0,0,0,1,0,0,0,0,,,0,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Connor Noß,IRL,"FW,MF",23,2001,7.5,3,0,0,9,13,5,12,5,5,,,0,,,,
