league,season,team,player,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
BEL-Belgian Pro League,2024-25,Club Brugge,Simon Mignolet,BEL,GK,36,1988,29.7,35,3,0,2,2,36.0,0.32,3.0,0.1,144,301,47.8,920,112,28.0,30.0,143,30.1,31.7,374,17,4.5,27,0.91,13.7
BEL-Belgian Pro League,2024-25,Dender,Guillaume Dietsch,FRA,GK,23,2001,0.5,1,0,0,0,0,0.8,0.4,-0.2,-0.37,0,1,0.0,5,2,20.0,28.6,0,,,2,0,0.0,0,0.0,
BEL-Belgian Pro League,2024-25,Dender,Julien Devriendt,BEL,GK,25,1998,3.5,9,1,0,1,0,7.2,0.26,-1.8,-0.51,13,42,31.0,77,23,46.8,38.0,16,37.5,38.6,49,2,4.1,7,2.0,17.4
BEL-Belgian Pro League,2024-25,Dender,Michael Verrips,NED,GK,27,1996,26.0,41,7,1,3,2,45.0,0.31,6.0,0.23,147,412,35.7,546,64,55.3,41.2,175,62.9,44.7,435,19,4.4,4,0.15,9.3
BEL-Belgian Pro League,2024-25,Genk,Hendrik Van Crombrugge,BEL,GK,31,1993,19.0,24,0,0,3,0,23.2,0.34,-0.8,-0.04,103,237,43.5,673,63,29.9,30.4,80,45.0,39.0,253,6,2.4,9,0.47,11.6
BEL-Belgian Pro League,2024-25,Genk,Mike Penders,BEL,GK,19,2005,11.0,8,1,0,0,0,10.2,0.3,2.2,0.2,60,129,46.5,386,37,28.2,30.0,49,40.8,35.1,121,13,10.7,3,0.27,10.1
BEL-Belgian Pro League,2024-25,Gent,Daniel Schmidt,JPN,GK,32,1992,1.0,0,0,0,0,0,2.1,0.41,2.1,2.07,2,11,18.2,37,5,27.0,29.9,2,50.0,39.5,7,1,14.3,0,0.0,4.0
BEL-Belgian Pro League,2024-25,Gent,Davy Roef,BEL,GK,30,1994,26.0,30,1,1,2,1,45.7,0.32,16.7,0.64,104,265,39.2,692,166,26.6,30.3,215,37.7,32.3,431,29,6.7,14,0.54,10.1
BEL-Belgian Pro League,2024-25,Gent,Tom Vandenberghe,BEL,GK,31,1992,3.0,3,0,0,0,0,4.4,0.4,1.4,0.46,20,49,40.8,105,20,41.9,35.0,13,38.5,33.1,41,1,2.4,1,0.33,10.1
BEL-Belgian Pro League,2024-25,Kortrijk,Lucas Pirard,BEL,GK,29,1995,6.0,10,1,1,0,0,14.7,0.49,4.7,0.79,36,88,40.9,138,31,45.7,36.4,37,67.6,43.5,88,4,4.5,12,1.99,15.8
BEL-Belgian Pro League,2024-25,Kortrijk,Marko Ilić,SRB,GK,26,1998,4.7,9,0,0,1,1,10.1,0.37,2.1,0.43,28,64,43.8,85,24,50.6,36.2,26,80.8,47.0,62,4,6.5,4,0.85,15.3
BEL-Belgian Pro League,2024-25,Kortrijk,Patrik Gunnarsson,ISL,GK,23,2000,10.2,16,0,0,1,1,14.9,0.41,-0.1,-0.01,65,176,36.9,243,56,49.8,39.6,77,71.4,52.7,179,11,6.1,7,0.68,12.4
BEL-Belgian Pro League,2024-25,Kortrijk,Tom Vandenberghe,BEL,GK,31,1992,9.0,20,1,1,2,1,17.3,0.34,-1.7,-0.19,45,112,40.2,186,47,47.8,37.9,46,50.0,42.0,124,13,10.5,6,0.67,12.2
BEL-Belgian Pro League,2024-25,Mechelen,Ortwin De Wolf,BEL,GK,27,1997,30.0,40,5,0,5,4,45.3,0.3,9.3,0.31,130,372,34.9,937,150,31.1,32.7,225,36.0,34.1,473,32,6.8,23,0.77,11.4
BEL-Belgian Pro League,2024-25,OH Leuven,Maxence Prevot,FRA,GK,27,1997,1.0,1,0,0,0,0,2.4,0.48,1.4,1.36,14,26,53.8,36,5,50.0,39.2,8,100.0,62.6,29,2,6.9,1,1.0,14.0
BEL-Belgian Pro League,2024-25,OH Leuven,Tobe Leysen,BEL,GK,22,2002,29.0,32,4,0,5,2,40.9,0.29,10.9,0.38,171,511,33.5,1023,158,37.0,36.0,210,63.3,50.8,462,29,6.3,28,0.97,12.1
BEL-Belgian Pro League,2024-25,Sint-Truiden,Jo Coppens,BEL,GK,33,1990,3.0,11,1,0,0,0,9.0,0.49,-2.0,-0.68,12,47,25.5,96,9,46.9,38.4,10,20.0,34.0,50,1,2.0,0,0.0,6.7
BEL-Belgian Pro League,2024-25,Sint-Truiden,Leo Kokubo,JPN,GK,23,2001,27.0,45,9,0,7,2,45.0,0.31,2.0,0.07,113,318,35.5,749,103,34.8,32.6,172,33.1,32.7,485,21,4.3,36,1.33,13.5
BEL-Belgian Pro League,2024-25,Standard Liège,Arnaud Bodart,BEL,GK,26,1998,2.0,1,0,0,0,0,2.6,0.48,1.6,0.82,18,56,32.1,47,4,85.1,51.4,16,100.0,62.7,40,8,20.0,9,4.5,14.8
BEL-Belgian Pro League,2024-25,Standard Liège,Gavin Bazunu,IRL,GK,22,2002,6.0,12,0,0,1,0,11.5,0.46,-0.5,-0.08,25,92,27.2,178,25,39.9,36.7,28,75.0,54.4,77,0,0.0,15,2.5,17.4
BEL-Belgian Pro League,2024-25,Standard Liège,Laurent Henkinet,BEL,GK,31,1992,3.5,1,0,0,0,0,2.5,0.19,1.5,0.43,19,72,26.4,76,12,68.4,43.9,27,74.1,46.3,93,9,9.7,2,0.57,7.4
BEL-Belgian Pro League,2024-25,Standard Liège,Matthieu Epolo,BEL,GK,20,2004,18.5,21,0,1,4,1,26.2,0.28,6.2,0.34,114,341,33.4,399,58,55.6,41.1,143,83.2,53.1,279,18,6.5,17,0.92,11.1
BEL-Belgian Pro League,2024-25,Union SG,Anthony Moris,LUX,GK,34,1990,30.0,25,1,1,6,0,33.7,0.35,8.7,0.29,194,444,43.7,874,99,44.4,38.7,100,56.0,44.1,411,19,4.6,25,0.83,12.3
BEL-Belgian Pro League,2024-25,Westerlo,Andreas Jungdal,DEN,GK,22,2002,8.0,10,1,0,2,1,9.2,0.29,0.2,0.02,48,141,34.0,263,40,41.8,36.7,54,57.4,46.5,130,8,6.2,10,1.25,13.0
BEL-Belgian Pro League,2024-25,Westerlo,Koen Van Langendonck,BEL,GK,35,1989,10.0,16,2,0,2,0,16.4,0.35,0.4,0.04,53,117,45.3,278,38,29.5,32.3,80,43.8,38.3,144,7,4.9,17,1.7,15.4
BEL-Belgian Pro League,2024-25,Westerlo,Nick Gillekens,BEL,GK,29,1995,1.0,3,0,0,1,0,4.3,0.43,1.3,1.28,8,19,42.1,34,7,41.2,38.3,9,55.6,39.4,22,0,0.0,1,1.0,10.0
BEL-Belgian Pro League,2024-25,Westerlo,Sinan Bolat,TUR,GK,35,1988,11.0,20,2,0,2,0,19.5,0.3,-0.5,-0.05,59,168,35.1,323,47,41.2,36.0,79,44.3,38.0,165,7,4.2,12,1.09,12.9
ENG-Premier League,2024-25,Arsenal,David Raya,ESP,GK,28,1995,38.0,34,3,2,8,0,35.1,0.28,1.1,0.03,149,478,31.2,1263,178,29.9,29.9,147,68.0,49.1,402,53,13.2,66,1.74,17.2
ENG-Premier League,2024-25,Aston Villa,Emiliano Martínez,ARG,GK,31,1992,35.5,45,1,1,2,0,45.8,0.32,0.8,0.02,162,420,38.6,1208,132,26.3,30.4,172,59.3,46.3,498,56,11.2,35,0.99,13.7
ENG-Premier League,2024-25,Aston Villa,Robin Olsen,SWE,GK,34,1990,2.5,6,1,0,0,0,6.3,0.4,0.3,0.12,19,54,35.2,75,1,42.7,35.9,26,84.6,60.0,40,3,7.5,0,0.0,8.6
ENG-Premier League,2024-25,Bournemouth,Kepa Arrizabalaga,ESP,GK,29,1994,31.0,39,4,0,4,0,41.0,0.28,2.0,0.07,132,365,36.2,831,122,33.2,32.9,192,46.4,38.7,367,22,6.0,54,1.74,16.0
ENG-Premier League,2024-25,Bournemouth,Mark Travers,IRL,GK,25,1999,5.0,5,0,1,1,0,9.5,0.38,4.5,0.89,33,73,45.2,103,29,41.7,36.3,39,76.9,55.8,63,1,1.6,5,1.0,12.9
ENG-Premier League,2024-25,Bournemouth,Neto,BRA,GK,35,1989,2.0,2,0,0,0,0,4.3,0.35,2.3,1.17,9,27,33.3,46,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.5,12.6
ENG-Premier League,2024-25,Brentford,Hákon Rafn Valdimarsson,ISL,GK,22,2001,1.6,2,0,0,0,1,0.6,0.14,-0.4,-0.26,15,38,39.5,54,7,42.6,34.9,16,93.8,59.3,16,2,12.5,0,0.0,4.7
ENG-Premier League,2024-25,Brentford,Mark Flekken,NED,GK,31,1993,36.4,55,1,0,2,2,52.7,0.26,-0.3,-0.01,249,659,37.8,1498,122,33.7,34.4,212,72.6,54.8,581,46,7.9,34,0.93,11.5
ENG-Premier League,2024-25,Brighton,Bart Verbruggen,NED,GK,21,2002,36.0,58,9,1,4,2,51.0,0.31,-5.0,-0.14,122,386,31.6,1226,122,26.9,29.7,83,67.5,48.5,414,27,6.5,47,1.31,13.9
ENG-Premier League,2024-25,Brighton,Jason Steele,ENG,GK,33,1990,2.0,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,2,50.0,43.0,22,2,9.1,3,1.5,15.4
ENG-Premier League,2024-25,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6.0,9,1,0,1,0,9.3,0.3,0.3,0.04,7,33,21.2,171,19,18.1,24.1,18,11.1,17.5,53,2,3.8,2,0.33,13.2
ENG-Premier League,2024-25,Chelsea,Robert Sánchez,ESP,GK,26,1997,32.0,34,4,0,4,0,35.7,0.25,1.7,0.05,98,424,23.1,1160,190,33.3,33.4,82,46.3,40.3,370,47,12.7,57,1.78,14.5
ENG-Premier League,2024-25,Crystal Palace,Dean Henderson,ENG,GK,27,1997,38.0,51,1,1,5,3,51.2,0.35,3.2,0.08,157,600,26.2,942,115,47.5,38.5,273,56.0,44.9,559,30,5.4,40,1.05,14.3
ENG-Premier League,2024-25,Everton,Jordan Pickford,ENG,GK,30,1994,38.0,44,0,1,6,0,48.8,0.3,4.8,0.13,304,806,37.7,1355,161,48.8,39.7,231,62.8,48.7,558,31,5.6,57,1.5,15.2
ENG-Premier League,2024-25,Fulham,Bernd Leno,GER,GK,32,1992,38.0,54,3,0,6,2,48.9,0.29,-3.1,-0.08,141,367,38.4,1231,167,22.7,28.9,172,51.2,41.9,507,23,4.5,33,0.87,13.3
ENG-Premier League,2024-25,Ipswich Town,Alex Palmer,ENG,GK,27,1996,13.0,30,1,0,9,2,25.1,0.35,-2.9,-0.22,71,186,38.2,329,55,36.8,33.9,94,69.1,50.8,249,20,8.0,13,1.0,11.5
ENG-Premier League,2024-25,Ipswich Town,Arijanet Muric,KVX,GK,25,1998,18.0,33,3,0,2,0,31.4,0.29,-1.6,-0.09,76,229,33.2,534,94,29.6,30.3,94,75.5,54.6,249,39,15.7,20,1.11,12.2
ENG-Premier League,2024-25,Ipswich Town,Christian Walton,ENG,GK,28,1995,7.0,19,2,0,0,0,17.1,0.4,-1.9,-0.28,42,116,36.2,204,35,42.6,34.3,51,56.9,44.5,111,12,10.8,2,0.29,8.2
ENG-Premier League,2024-25,Leicester City,Danny Ward,WAL,GK,31,1993,1.5,6,0,0,0,0,2.8,0.28,-3.2,-2.11,10,22,45.5,46,9,37.0,32.0,7,71.4,52.0,11,0,0.0,2,1.33,20.7
ENG-Premier League,2024-25,Leicester City,Jakub Stolarczyk,POL,GK,23,2000,10.0,16,0,0,2,0,15.4,0.35,-0.6,-0.06,57,195,29.2,328,36,46.3,34.2,58,74.1,50.2,169,10,5.9,8,0.8,12.5
ENG-Premier League,2024-25,Leicester City,Mads Hermansen,DEN,GK,24,2000,26.5,58,3,0,3,3,56.4,0.35,1.4,0.05,114,471,24.2,926,133,39.2,34.6,143,75.5,51.5,419,26,6.2,26,0.98,13.1
ENG-Premier League,2024-25,Liverpool,Alisson,BRA,GK,31,1992,27.9,29,1,0,2,2,30.5,0.3,3.5,0.13,68,203,33.5,877,128,19.7,26.6,80,37.5,33.4,255,11,4.3,49,1.76,16.0
ENG-Premier League,2024-25,Liverpool,Caoimhín Kelleher,IRL,GK,25,1998,10.0,12,0,0,1,0,11.6,0.3,-0.4,-0.04,29,115,25.2,364,49,28.6,29.0,18,61.1,42.8,113,6,5.3,9,0.9,14.0
ENG-Premier League,2024-25,Liverpool,Vitezslav Jaros,CZE,GK,23,2001,0.1,0,0,0,0,0,0.0,0.03,0.0,0.25,5,7,71.4,7,2,85.7,50.9,1,100.0,59.0,2,0,0.0,0,0.0,11.0
ENG-Premier League,2024-25,Manchester City,Ederson,BRA,GK,30,1993,25.8,26,2,0,3,1,30.0,0.37,5.0,0.19,72,165,43.6,846,108,17.4,27.9,77,23.4,31.9,224,13,5.8,49,1.9,17.5
ENG-Premier League,2024-25,Manchester City,Stefan Ortega,GER,GK,31,1992,12.2,18,2,1,1,1,16.3,0.31,-0.7,-0.06,40,104,38.5,409,55,21.5,26.7,49,32.7,28.2,133,6,4.5,12,0.98,14.3
ENG-Premier League,2024-25,Manchester Utd,Altay Bayındır,TUR,GK,26,1998,4.0,10,0,0,0,1,10.1,0.59,1.1,0.27,13,62,21.0,128,12,34.4,34.1,24,75.0,53.8,56,4,7.1,7,1.75,12.0
ENG-Premier League,2024-25,Manchester Utd,André Onana,CMR,GK,28,1996,34.0,44,3,1,10,1,44.0,0.31,1.0,0.03,118,440,26.8,1152,136,29.7,30.3,149,65.8,47.2,399,22,5.5,23,0.68,11.8
ENG-Premier League,2024-25,Newcastle Utd,Martin Dúbravka,SVK,GK,35,1989,10.0,12,0,0,1,0,12.9,0.32,0.9,0.09,18,80,22.5,273,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.1,15.3
ENG-Premier League,2024-25,Newcastle Utd,Nick Pope,ENG,GK,32,1992,28.0,35,1,0,3,2,34.8,0.28,1.8,0.06,72,257,28.0,595,192,25.7,30.7,187,55.6,43.6,359,39,10.9,64,2.29,16.0
ENG-Premier League,2024-25,Nott'ham Forest,Matz Sels,BEL,GK,32,1992,38.0,46,3,1,5,0,49.1,0.29,3.1,0.08,244,698,35.0,715,83,68.4,44.7,270,77.4,54.3,710,19,2.7,12,0.32,8.7
ENG-Premier League,2024-25,Southampton,Aaron Ramsdale,ENG,GK,26,1998,30.0,66,5,0,10,0,63.5,0.32,-2.5,-0.08,196,605,32.4,1026,129,44.6,36.0,190,77.4,55.9,457,25,5.5,20,0.67,11.7
ENG-Premier League,2024-25,Southampton,Alex McCarthy,ENG,GK,34,1989,5.0,13,2,0,1,0,12.6,0.29,-0.4,-0.07,24,52,46.2,132,29,33.3,29.5,23,34.8,30.7,74,8,10.8,0,0.0,6.5
ENG-Premier League,2024-25,Southampton,Joe Lumley,ENG,GK,29,1995,3.0,7,0,0,1,0,7.7,0.39,0.7,0.22,15,50,30.0,135,14,34.1,30.0,15,26.7,24.0,56,2,3.6,7,2.33,18.0
ENG-Premier League,2024-25,Tottenham,Antonín Kinský,CZE,GK,21,2003,6.0,11,0,0,1,2,10.5,0.33,1.5,0.25,17,58,29.3,186,37,26.9,30.7,30,26.7,29.1,112,10,8.9,9,1.5,12.1
ENG-Premier League,2024-25,Tottenham,Brandon Austin,ENG,GK,25,1999,1.0,2,0,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,26,5,38.5,32.3,6,16.7,29.0,15,5,33.3,2,2.0,12.4
ENG-Premier League,2024-25,Tottenham,Fraser Forster,ENG,GK,36,1988,7.0,15,2,0,1,0,16.5,0.36,1.5,0.21,11,31,35.5,141,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1
ENG-Premier League,2024-25,Tottenham,Guglielmo Vicario,ITA,GK,27,1996,24.0,37,1,0,6,2,37.4,0.36,2.4,0.1,28,95,29.5,809,120,10.5,22.8,65,15.4,22.8,312,30,9.6,31,1.29,13.3
ENG-Premier League,2024-25,West Ham,Alphonse Areola,FRA,GK,31,1993,25.1,41,0,0,5,3,35.4,0.31,-2.6,-0.1,135,384,35.2,788,119,34.4,32.1,196,57.7,42.9,394,15,3.8,30,1.19,15.0
ENG-Premier League,2024-25,West Ham,Łukasz Fabiański,POL,GK,39,1985,12.9,21,3,1,3,0,22.6,0.29,1.6,0.12,77,226,34.1,394,55,41.9,35.5,100,61.0,45.1,220,10,4.5,12,0.93,13.1
ENG-Premier League,2024-25,Wolves,Daniel Bentley,ENG,GK,31,1993,2.0,4,0,1,0,0,3.9,0.33,-0.1,-0.04,7,21,33.3,52,6,25.0,28.1,13,61.5,46.4,25,0,0.0,3,1.5,16.4
ENG-Premier League,2024-25,Wolves,José Sá,POR,GK,31,1993,29.0,48,5,1,6,2,42.8,0.33,-3.2,-0.11,94,382,24.6,771,121,39.3,35.2,150,52.7,41.5,432,32,7.4,43,1.48,15.5
ENG-Premier League,2024-25,Wolves,Sam Johnstone,ENG,GK,31,1993,7.0,17,2,0,5,1,13.0,0.29,-3.0,-0.43,52,129,40.3,252,28,45.6,36.6,25,56.0,43.2,104,8,7.7,11,1.57,13.4
ENG-Premier League,2024-25,Wolves,Tom King,WAL,GK,29,1995,0.0,0,0,0,0,0,0.0,,0.0,0.0,0,0,,1,1,0.0,14.0,0,,,1,0,0.0,0,0.0,
ESP-La Liga,2024-25,Alavés,Adrian Rodriguez,ESP,GK,23,2000,1.4,2,1,0,0,0,1.5,0.13,-0.5,-0.36,18,48,37.5,26,0,92.3,56.3,24,100.0,67.4,33,0,0.0,0,0.0,9.8
ESP-La Liga,2024-25,Alavés,Antonio Sivera,ESP,GK,27,1996,31.2,39,9,2,2,2,39.0,0.28,2.0,0.06,297,724,41.0,735,70,71.8,47.7,229,85.6,60.0,453,30,6.6,29,0.93,12.7
ESP-La Liga,2024-25,Alavés,Jesús Owono,EQG,GK,23,2001,5.4,7,1,0,2,0,5.4,0.37,-1.6,-0.29,46,105,43.8,126,12,55.6,43.0,36,97.2,67.5,66,6,9.1,2,0.37,8.9
ESP-La Liga,2024-25,Athletic Club,Alex Padilla,ESP,GK,20,2003,3.6,6,1,0,1,1,4.8,0.26,-0.2,-0.06,27,78,34.6,98,15,58.2,41.5,22,95.5,64.5,57,2,3.5,3,0.84,13.4
ESP-La Liga,2024-25,Athletic Club,Julen Agirrezabala,ESP,GK,23,2000,13.4,9,1,2,1,0,10.5,0.27,1.5,0.11,57,178,32.0,341,51,37.5,33.9,66,75.8,54.9,143,20,14.0,17,1.27,14.2
ESP-La Liga,2024-25,Athletic Club,Unai Simón,ESP,GK,27,1997,21.0,14,1,0,2,0,16.3,0.24,2.3,0.11,106,284,37.3,533,91,36.2,34.4,117,77.8,58.3,249,19,7.6,28,1.33,15.5
ESP-La Liga,2024-25,Atlético Madrid,Jan Oblak,SVN,GK,31,1993,36.0,30,5,1,3,2,25.6,0.19,-2.4,-0.07,109,277,39.4,670,183,24.3,30.2,277,41.2,36.7,488,28,5.7,28,0.78,14.0
ESP-La Liga,2024-25,Atlético Madrid,Juan Musso,ARG,GK,30,1994,2.0,0,0,0,0,0,0.1,0.05,0.1,0.05,1,9,11.1,46,11,15.2,24.0,13,15.4,25.2,23,2,8.7,0,0.0,11.2
ESP-La Liga,2024-25,Barcelona,Iñaki Peña,ESP,GK,25,1999,15.5,18,2,0,1,0,16.7,0.29,-1.3,-0.08,23,78,29.5,546,80,10.8,24.7,84,22.6,30.3,143,3,2.1,89,5.74,23.5
ESP-La Liga,2024-25,Barcelona,Marc-André ter Stegen,GER,GK,32,1992,7.5,9,1,0,1,0,6.4,0.26,-2.6,-0.34,15,31,48.4,224,40,12.1,26.5,27,14.8,32.0,83,5,6.0,13,1.74,17.0
ESP-La Liga,2024-25,Barcelona,Wojciech Szczęsny,POL,GK,34,1990,15.0,12,1,0,1,0,12.0,0.35,0.0,0.0,24,63,38.1,398,61,12.3,25.1,54,25.9,31.0,130,7,5.4,56,3.73,20.2
ESP-La Liga,2024-25,Betis,Adrián,ESP,GK,37,1987,19.0,27,1,2,5,0,26.0,0.33,-1.0,-0.05,58,178,32.6,507,91,28.0,31.2,109,33.0,33.8,257,14,5.4,16,0.84,11.7
ESP-La Liga,2024-25,Betis,Fran Vieites,ESP,GK,25,1999,4.0,5,0,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,90,16,40.0,38.0,29,62.1,46.4,65,6,9.2,4,1.0,12.8
