league,season,team,player,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
AUT-Bundesliga,2024-25,Austria Wien,Samuel Şahin-Radlinger,AUT,GK,31,1992,32.0,32,2,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Andreas Lukse,AUT,GK,36,1987,4.0,5,1,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Nicolas Schmid,AUT,GK,27,1997,2.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Radek Vítek,,GK,20,2003,26.0,35,4,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Florian Wiegele,AUT,GK,23,2001,15.0,19,3,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Jakob Meierhofer,AUT,GK,26,1997,17.0,35,7,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Luka Marić,AUT,GK,22,2002,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Hartberg,Raphael Sallinger,AUT,GK,28,1995,31.0,40,2,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Jörg Siebenhandl,AUT,GK,34,1990,9.9,16,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Lukas Jungwirth,AUT,GK,20,2004,2.5,5,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Tobias Lawal,AUT,GK,24,2000,17.6,14,2,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,LASK,Tobias Schützenauer,AUT,GK,27,1997,2.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Alexander Schlager,AUT,GK,28,1996,21.0,22,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Janis Blaswich,GER,GK,33,1991,11.0,14,1,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Rapid Wien,Niklas Hedl,AUT,GK,23,2001,29.3,35,2,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Rapid Wien,Paul Gartler,AUT,GK,27,1997,2.7,7,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,SCR Altach,Ammar Helac,AUT,GK,26,1998,3.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,SCR Altach,Dejan Stojanović,AUT,GK,31,1993,29.0,44,3,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Marco Knaller,AUT,GK,37,1987,5.0,8,2,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,SK Austria Klagenfurt,Simon Spari,AUT,GK,22,2002,27.0,62,5,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Sturm Graz,Daniil Khudiakov,RUS,GK,20,2004,2.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Sturm Graz,Kjell Scherpen,NED,GK,24,2000,30.0,38,2,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,WSG Tirol,Adam Stejskal,CZE,GK,21,2002,31.1,50,2,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,WSG Tirol,David Gugganig,AUT,DF,27,1997,22.3,0,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Lukas Gütlbauer,AUT,GK,23,2000,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,Wolfsberger AC,Nikolas Polster,AUT,GK,22,2002,30.0,34,5,,,,,,,,,,,,,,,,,,,,,,,
BEL-Belgian Pro League,2024-25,Anderlecht,Colin Coosemans,BEL,GK,31,1992,28.0,25,0,0,3,0,39.0,0.3,14.0,0.5,161,396,40.7,1227,105,29.4,31.1,93,37.6,35.3,383,21,5.5,35,1.25,14.2
BEL-Belgian Pro League,2024-25,Anderlecht,Mads Kikkenborg,DEN,GK,24,1999,2.0,2,0,0,0,0,4.2,0.44,2.2,1.1,9,30,30.0,71,10,33.8,31.2,6,100.0,60.2,37,1,2.7,3,1.5,12.6
BEL-Belgian Pro League,2024-25,Antwerp,Senne Lammens,BEL,GK,22,2002,30.0,32,2,0,5,2,44.5,0.25,14.5,0.5,137,369,37.1,983,167,32.0,33.6,142,38.0,35.6,394,44,11.2,21,0.72,10.5
BEL-Belgian Pro League,2024-25,Beerschot,Davor Matijas,CRO,GK,24,1999,9.5,22,6,0,3,0,20.2,0.36,2.2,0.26,25,93,26.9,297,37,27.6,31.1,43,25.6,30.8,125,4,3.2,15,1.77,16.5
BEL-Belgian Pro League,2024-25,Beerschot,Nick Shinton,BEL,GK,23,2001,20.5,37,4,2,5,1,40.2,0.32,4.2,0.21,84,322,26.1,662,78,39.4,34.8,106,57.5,45.3,361,11,3.0,27,1.32,13.0
BEL-Belgian Pro League,2024-25,Cercle Brugge,Maxime Delanghe,BEL,GK,23,2001,20.9,27,2,0,4,0,29.0,0.3,2.0,0.1,105,413,25.4,427,39,69.1,46.8,129,91.5,61.2,263,6,2.3,34,1.63,14.8
BEL-Belgian Pro League,2024-25,Cercle Brugge,Warleson,BRA,GK,27,1996,9.1,17,0,0,2,0,21.4,0.47,4.4,0.48,71,199,35.7,198,16,76.8,47.6,50,94.0,62.0,88,5,5.7,28,3.09,20.7
BEL-Belgian Pro League,2024-25,Charleroi,Martin Delavallée,BEL,GK,20,2004,8.0,13,0,0,3,0,14.4,0.31,1.4,0.18,50,116,43.1,231,58,36.4,33.8,46,69.6,47.5,96,5,5.2,11,1.38,16.1
BEL-Belgian Pro League,2024-25,Charleroi,Mohamed Koné,CIV,GK,22,2002,21.0,21,3,0,3,1,23.8,0.28,3.8,0.18,118,289,40.8,652,85,37.0,34.8,82,58.5,44.0,246,28,11.4,33,1.57,13.6
BEL-Belgian Pro League,2024-25,Charleroi,Théo Defourny,BEL,GK,32,1992,1.0,2,0,0,0,0,1.5,0.37,-0.5,-0.52,1,10,10.0,24,3,37.5,34.6,5,20.0,23.8,9,0,0.0,1,1.0,13.7
BEL-Belgian Pro League,2024-25,Club Brugge,Nordin Jackers,BEL,GK,26,1997,0.3,1,0,0,0,0,0.8,0.32,-0.2,-0.7,3,4,75.0,28,4,14.3,25.1,0,,,2,2,100.0,0,0.0,9.3
