league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Aleksandar Jukic,AUT,"MF,FW",23,2000,9.4,,,,,,,,,,,,,,,2,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Alexander Schmidt,AUT,"FW,MF",25,1998,5.1,,,,,,,,,,,,,,,0,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Andreas Gruber,AUT,"FW,MF",28,1995,25.1,,,,,,,,,,,,,,,3,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Ayi Kangni-Soukpe,ISR,FW,20,2003,1.0,,,,,,,,,,,,,,,1,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Christian Früchtl,GER,GK,23,2000,29.0,,,,,,,,,,,,,,,0,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Dominik Fitz,AUT,"MF,FW",24,1999,21.8,,,,,,,,,,,,,,,4,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Fisnik Asllani,KVX,FW,20,2002,9.4,,,,,,,,,,,,,,,1,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Frans Krätzig,GER,MF,20,2003,13.3,,,,,,,,,,,,,,,3,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Hakim Guenouche,FRA,MF,23,2000,12.6,,,,,,,,,,,,,,,1,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Haris Tabakovic,BIH,FW,29,1994,0.9,,,,,,,,,,,,,,,0,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,James Holland,AUS,MF,34,1989,7.8,,,,,,,,,,,,,,,0,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Johannes Handl,AUT,DF,25,1998,25.7,,,,,,,,,,,,,,,0,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Luca Pazourek,AUT,MF,18,2005,0.5,,,,,,,,,,,,,,,0,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Lucas Galvão,BRA,DF,32,1991,23.5,,,,,,,,,,,,,,,1,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Manfred Fischer,AUT,"MF,FW",27,1995,26.2,,,,,,,,,,,,,,,1,,,,,,,,
AUT-Bundesliga,2023-24,Austria Wien,Manuel Polster,AUT,MF,20,2002,11.5,,,,,,,,,,,,,,,2,,,,,,,,
