league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
BEL-Belgian Pro League,2023-24,Kortrijk,Abdelkahar Kadri,ALG,"MF,FW",23,2000,25.4,991,1323,74.9,15549,5426,478,557,85.8,364,478,76.2,80,185,43.2,3,4.0,4.9,-1.0,45,107,25,4,154
BEL-Belgian Pro League,2023-24,Kortrijk,Abdoulaye Sissako,FRA,MF,25,1998,21.0,732,964,75.9,12418,3060,311,403,77.2,313,389,80.5,71,104,68.3,1,1.1,1.0,-0.1,10,73,9,1,91
BEL-Belgian Pro League,2023-24,Kortrijk,Aleksandar Radovanović,SRB,DF,29,1993,10.9,338,442,76.5,6869,2855,110,136,80.9,170,203,83.7,53,94,56.4,0,0.1,0.1,-0.1,2,13,2,1,16
BEL-Belgian Pro League,2023-24,Kortrijk,Alex Mighten,ENG,MF,21,2002,2.7,42,55,76.4,647,142,22,27,81.5,17,17,100.0,3,6,50.0,0,0.1,0.2,-0.1,3,5,4,1,5
BEL-Belgian Pro League,2023-24,Kortrijk,Billal Messaoudi,ALG,"DF,MF",25,1997,0.3,11,14,78.6,142,24,7,9,77.8,4,4,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,2
BEL-Belgian Pro League,2023-24,Kortrijk,Christalino Atemona,GER,DF,21,2002,1.1,31,41,75.6,560,237,10,12,83.3,18,22,81.8,2,5,40.0,0,0.0,0.0,0.0,0,1,0,0,2
BEL-Belgian Pro League,2023-24,Kortrijk,David Henen,TOG,"MF,DF",27,1996,2.9,87,118,73.7,1151,311,47,59,79.7,29,37,78.4,1,7,14.3,1,0.5,0.1,0.5,4,6,4,0,10
BEL-Belgian Pro League,2023-24,Kortrijk,Dion De Neve,BEL,"DF,MF",21,2002,21.4,612,935,65.5,9765,3976,316,394,80.2,229,350,65.4,43,124,34.7,1,1.4,1.8,-0.4,20,28,28,25,41
BEL-Belgian Pro League,2023-24,Kortrijk,Djiby Seck,SEN,"FW,MF",19,2004,0.6,12,14,85.7,208,41,5,6,83.3,6,6,100.0,1,1,100.0,0,0.1,0.0,-0.1,1,1,1,0,2
BEL-Belgian Pro League,2023-24,Kortrijk,Dylan Mbayo,BEL,"FW,MF",21,2001,5.0,107,142,75.4,1588,412,55,75,73.3,45,55,81.8,3,6,50.0,0,0.1,0.1,-0.1,2,9,3,0,12
BEL-Belgian Pro League,2023-24,Kortrijk,Felipe Avenatti,URU,"FW,MF",30,1993,17.4,382,607,62.9,6230,1712,193,304,63.5,117,177,66.1,43,76,56.6,0,0.9,1.3,-0.9,13,52,13,0,61
BEL-Belgian Pro League,2023-24,Kortrijk,Haruya Fujii,JPN,DF,22,2000,5.0,170,220,77.3,3631,1838,46,58,79.3,95,113,84.1,26,42,61.9,0,0.0,0.1,0.0,0,14,0,0,15
BEL-Belgian Pro League,2023-24,Kortrijk,Isaak Davies,WAL,FW,21,2001,19.2,180,272,66.2,2485,272,101,145,69.7,57,78,73.1,8,14,57.1,0,0.2,0.4,-0.2,5,6,2,0,15
BEL-Belgian Pro League,2023-24,Kortrijk,Iver Fossum,NOR,"MF,FW",27,1996,1.9,45,58,77.6,758,298,20,26,76.9,20,26,76.9,3,3,100.0,0,0.1,0.2,-0.1,2,7,1,1,7
BEL-Belgian Pro League,2023-24,Kortrijk,Jonathan Afolabi,IRL,FW,23,2000,4.4,58,86,67.4,771,198,35,45,77.8,12,27,44.4,5,5,100.0,0,0.5,0.1,-0.5,4,5,3,0,7
BEL-Belgian Pro League,2023-24,Kortrijk,João Silva,POR,DF,24,1999,28.5,732,911,80.4,15300,5502,177,217,81.6,435,495,87.9,106,174,60.9,0,0.3,0.3,-0.3,4,28,0,0,41
BEL-Belgian Pro League,2023-24,Kortrijk,Kings Kangwa,ZAM,MF,24,1999,1.8,82,97,84.5,1617,391,32,36,88.9,33,40,82.5,16,20,80.0,0,0.0,0.2,0.0,1,7,1,0,14
BEL-Belgian Pro League,2023-24,Kortrijk,Kristiyan Malinov,BUL,MF,29,1994,9.7,328,422,77.7,5565,2022,144,176,81.8,145,171,84.8,27,48,56.3,0,0.2,0.8,-0.2,3,27,6,0,49
BEL-Belgian Pro League,2023-24,Kortrijk,Lars Montegnies,BEL,MF,17,2005,1.9,61,77,79.2,1116,347,20,24,83.3,30,36,83.3,6,11,54.5,0,0.0,0.0,0.0,0,8,0,0,8
BEL-Belgian Pro League,2023-24,Kortrijk,Lucas Pirard,BEL,GK,28,1995,9.0,165,303,54.5,6290,5560,24,25,96.0,44,45,97.8,97,232,41.8,0,0.0,0.0,0.0,0,11,0,0,0
BEL-Belgian Pro League,2023-24,Kortrijk,Lynnt Audoor,BEL,MF,19,2003,4.5,155,190,81.6,2345,821,69,82,84.1,67,79,84.8,7,11,63.6,0,0.2,0.1,-0.2,2,16,1,0,22
BEL-Belgian Pro League,2023-24,Kortrijk,Marco Kana,BEL,"MF,DF",20,2002,14.5,529,667,79.3,9968,3531,191,233,82.0,273,313,87.2,56,97,57.7,0,0.1,0.3,-0.1,3,61,6,0,77
BEL-Belgian Pro League,2023-24,Kortrijk,Mark Mampasi,UKR,DF,20,2003,18.9,553,729,75.9,10426,4055,192,226,85.0,274,347,79.0,69,124,55.6,1,0.6,0.4,0.4,4,51,2,1,47
BEL-Belgian Pro League,2023-24,Kortrijk,Martin Wasinski,BEL,DF,19,2004,6.3,278,343,81.0,5584,2004,105,120,87.5,125,147,85.0,42,63,66.7,0,0.1,0.1,-0.1,3,17,0,0,18
BEL-Belgian Pro League,2023-24,Kortrijk,Massimo Bruno,BEL,"MF,FW",29,1993,12.6,406,550,73.8,6941,2098,182,233,78.1,162,206,78.6,41,76,53.9,3,1.5,1.8,1.5,18,39,12,3,60
BEL-Belgian Pro League,2023-24,Kortrijk,Massimo Decoene,BEL,FW,19,2004,0.1,9,13,69.2,132,47,4,5,80.0,5,8,62.5,0,0,,0,0.0,0.0,0.0,0,1,0,0,2
BEL-Belgian Pro League,2023-24,Kortrijk,Mounaim El Idrissy,FRA,"FW,MF",24,1999,8.1,172,278,61.9,2684,676,93,140,66.4,57,91,62.6,14,26,53.8,0,0.3,0.2,-0.3,5,9,5,2,13
BEL-Belgian Pro League,2023-24,Kortrijk,Nayel Mehssatou,CHI,"DF,MF",21,2002,21.4,717,964,74.4,11889,4904,305,367,83.1,311,389,79.9,51,124,41.1,1,1.9,2.0,-0.9,25,60,22,15,85
BEL-Belgian Pro League,2023-24,Kortrijk,Pape Habib Guèye,SEN,FW,23,1999,0.1,0,3,0.0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
BEL-Belgian Pro League,2023-24,Kortrijk,Raul Oprut,ROU,DF,25,1998,1.4,38,58,65.5,568,263,22,30,73.3,12,20,60.0,3,5,60.0,0,0.0,0.0,0.0,0,5,0,0,2
BEL-Belgian Pro League,2023-24,Kortrijk,Ryan Alebiosu,ENG,"DF,MF",21,2001,3.9,107,160,66.9,1623,652,54,68,79.4,43,68,63.2,5,10,50.0,1,1.1,0.6,-0.1,4,7,5,3,9
BEL-Belgian Pro League,2023-24,Kortrijk,Ryotaro Tsunoda,JPN,DF,24,1999,8.8,278,407,68.3,5146,2640,108,139,77.7,140,165,84.8,24,83,28.9,0,0.0,0.1,0.0,1,38,2,0,43
BEL-Belgian Pro League,2023-24,Kortrijk,Sheyi Ojo,ENG,"DF,FW",26,1997,17.1,456,662,68.9,7773,2426,224,284,78.9,179,257,69.6,40,87,46.0,1,1.5,1.5,-0.5,14,31,22,10,61
BEL-Belgian Pro League,2023-24,Kortrijk,Thierry Ambrose,GLP,FW,26,1997,0.6,11,15,73.3,156,75,5,8,62.5,3,4,75.0,1,1,100.0,0,0.0,0.2,0.0,0,1,2,0,3
BEL-Belgian Pro League,2023-24,Kortrijk,Tom Vandenberghe,BEL,GK,30,1992,21.0,427,694,61.5,13388,10338,58,60,96.7,192,194,99.0,176,436,40.4,0,0.0,0.2,0.0,0,19,1,0,1
BEL-Belgian Pro League,2023-24,Kortrijk,Youssef Challouk,BEL,"MF,FW",27,1995,0.5,19,25,76.0,239,70,11,12,91.7,7,9,77.8,0,2,0.0,0,0.1,0.1,-0.1,2,3,1,1,4
BEL-Belgian Pro League,2023-24,Mechelen,Alec Van Hoorenbeeck,BEL,DF,24,1998,0.5,28,38,73.7,421,160,18,21,85.7,10,11,90.9,0,3,0.0,0,0.1,0.1,-0.1,1,3,1,1,5
BEL-Belgian Pro League,2023-24,Mechelen,Bilal Bafdili,BEL,"MF,FW",18,2004,1.9,38,51,74.5,575,157,22,27,81.5,12,17,70.6,3,6,50.0,0,0.0,0.1,0.0,0,1,0,0,7
BEL-Belgian Pro League,2023-24,Mechelen,Bill Antonio,ZIM,"MF,FW",20,2002,6.4,120,185,64.9,2020,930,59,78,75.6,50,73,68.5,9,19,47.4,0,1.2,1.4,-1.2,5,5,10,4,16
BEL-Belgian Pro League,2023-24,Mechelen,Boli Bolingoli-Mbombo,BEL,DF,28,1995,0.9,44,52,84.6,694,254,18,18,100.0,23,29,79.3,1,2,50.0,0,0.0,0.0,0.0,0,0,1,0,5
BEL-Belgian Pro League,2023-24,Mechelen,Daam Foulon,BEL,"DF,MF",24,1999,28.2,1171,1565,74.8,19884,6668,500,603,82.9,570,706,80.7,74,173,42.8,2,2.1,2.3,-0.1,17,82,20,12,118
BEL-Belgian Pro League,2023-24,Mechelen,David Bates,SCO,DF,26,1996,23.2,1205,1356,88.9,25860,7893,259,308,84.1,790,829,95.3,145,193,75.1,0,1.4,1.0,-1.4,7,53,1,0,53
BEL-Belgian Pro League,2023-24,Mechelen,Dimitri Lavalée,BEL,DF,26,1997,2.1,141,168,83.9,3012,947,31,34,91.2,89,98,90.8,20,33,60.6,0,0.0,0.0,0.0,0,8,0,0,6
BEL-Belgian Pro League,2023-24,Mechelen,Dirk Asare,BEL,MF,19,2004,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
BEL-Belgian Pro League,2023-24,Mechelen,Elias Cobbaut,BEL,DF,25,1997,24.0,1218,1441,84.5,26928,9927,273,311,87.8,753,794,94.8,184,300,61.3,0,1.0,1.4,-1.0,6,134,11,2,114
BEL-Belgian Pro League,2023-24,Mechelen,Frederic Soelle Soelle,BEL,FW,17,2005,0.3,5,6,83.3,98,19,1,1,100.0,3,3,100.0,1,1,100.0,0,0.2,0.0,-0.2,1,1,0,0,1
BEL-Belgian Pro League,2023-24,Mechelen,Gaëtan Coucke,BEL,GK,24,1998,30.0,801,1094,73.2,22758,16906,153,155,98.7,360,369,97.6,286,566,50.5,0,0.0,0.1,0.0,0,17,0,0,2
BEL-Belgian Pro League,2023-24,Mechelen,Geoffry Hairemans,BEL,"FW,MF",31,1991,23.1,1066,1417,75.2,20638,6173,415,513,80.9,455,562,81.0,166,275,60.4,3,4.2,4.5,-1.2,65,118,55,14,197
BEL-Belgian Pro League,2023-24,Mechelen,Isaac Asante,GHA,"DF,MF",20,2002,0.1,1,2,50.0,5,2,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
BEL-Belgian Pro League,2023-24,Mechelen,Islam Slimani,ALG,FW,35,1988,4.5,108,152,71.1,1780,434,47,66,71.2,46,56,82.1,9,11,81.8,2,1.2,1.0,0.8,5,14,2,0,19
BEL-Belgian Pro League,2023-24,Mechelen,Jannes Van Hecke,BEL,"MF,DF",21,2002,4.6,230,303,75.9,3744,1302,115,141,81.6,94,120,78.3,17,28,60.7,0,0.7,0.4,-0.7,5,23,7,4,30
BEL-Belgian Pro League,2023-24,Mechelen,Jordi Vanlerberghe,BEL,"DF,MF",27,1996,18.3,1029,1263,81.5,23896,8037,229,271,84.5,591,644,91.8,204,324,63.0,0,0.3,0.9,-0.3,5,96,15,5,96
BEL-Belgian Pro League,2023-24,Mechelen,Julien Ngoy,BEL,"FW,MF",25,1997,1.5,18,24,75.0,287,71,6,9,66.7,9,10,90.0,1,1,100.0,0,0.0,0.0,0.0,1,4,0,0,2
BEL-Belgian Pro League,2023-24,Mechelen,Kerim Mrabti,SWE,"MF,FW",29,1994,28.2,837,1047,79.9,14569,3761,383,455,84.2,340,399,85.2,84,109,77.1,4,2.8,2.3,1.2,31,87,23,2,105
BEL-Belgian Pro League,2023-24,Mechelen,Lion Lauberbach,GER,FW,25,1998,19.2,290,399,72.7,4492,820,130,191,68.1,119,147,81.0,20,23,87.0,0,1.3,0.9,-1.3,14,24,7,1,37
BEL-Belgian Pro League,2023-24,Mechelen,Mory Konaté,GUI,"MF,DF",29,1993,13.5,462,566,81.6,8174,1969,190,238,79.8,219,258,84.9,39,44,88.6,0,0.2,0.2,-0.2,6,38,1,0,46
BEL-Belgian Pro League,2023-24,Mechelen,Munashe Garan'anga,ZIM,DF,22,2001,4.9,182,241,75.5,3233,1408,74,87,85.1,96,116,82.8,10,27,37.0,0,0.0,0.1,0.0,0,13,0,0,13
BEL-Belgian Pro League,2023-24,Mechelen,Ngal'Ayel Mukau,COD,MF,18,2004,12.8,455,519,87.7,9077,1299,131,163,80.4,246,262,93.9,66,74,89.2,0,0.1,0.1,-0.1,2,41,1,0,36
BEL-Belgian Pro League,2023-24,Mechelen,Nikola Storm,BEL,"FW,MF",28,1994,10.9,291,407,71.5,5088,1455,140,174,80.5,113,156,72.4,29,57,50.9,3,2.8,2.5,0.2,24,24,16,6,32
BEL-Belgian Pro League,2023-24,Mechelen,Norman Bassette,BEL,"FW,MF",18,2004,6.4,57,103,55.3,848,129,34,56,60.7,17,29,58.6,3,7,42.9,0,0.7,0.2,-0.7,4,4,1,0,5
BEL-Belgian Pro League,2023-24,Mechelen,Patrick Pflücke,GER,"FW,DF",26,1996,12.9,425,563,75.5,8104,2035,161,193,83.4,197,237,83.1,56,101,55.4,3,2.2,2.3,0.8,25,28,20,8,55
BEL-Belgian Pro League,2023-24,Mechelen,Rafik Belghali,ALG,DF,21,2002,2.9,140,168,83.3,2054,588,65,75,86.7,62,72,86.1,4,7,57.1,1,0.2,0.2,0.8,4,7,5,3,12
BEL-Belgian Pro League,2023-24,Mechelen,Rob Schoofs,BEL,MF,29,1994,27.0,1277,1608,79.4,24312,6468,470,554,84.8,582,669,87.0,179,284,63.0,6,6.1,4.4,-0.1,44,163,38,4,186
BEL-Belgian Pro League,2023-24,Mechelen,Sandy Walsh,IDN,DF,28,1995,16.9,726,903,80.4,13111,5097,263,312,84.3,381,446,85.4,61,104,58.7,1,1.1,1.6,-0.1,11,58,11,4,68
BEL-Belgian Pro League,2023-24,Mechelen,Toon Raemaekers,BEL,"DF,MF",22,2000,1.3,79,87,90.8,1634,627,22,24,91.7,45,47,95.7,12,14,85.7,0,0.3,0.4,-0.3,2,7,0,0,8
BEL-Belgian Pro League,2023-24,Mechelen,Yonas Malede,ISR,"FW,MF",23,1999,3.6,80,105,76.2,1128,271,48,59,81.4,27,38,71.1,3,5,60.0,3,1.0,0.9,2.0,4,5,8,1,13
BEL-Belgian Pro League,2023-24,OH Leuven,Ewoud Pletinckx,BEL,DF,22,2000,30.0,1024,1225,83.6,22888,7949,230,267,86.1,622,657,94.7,167,272,61.4,0,0.3,0.3,-0.3,5,60,2,0,56
BEL-Belgian Pro League,2023-24,OH Leuven,Ezechiel Banzuzi,NED,MF,18,2005,19.4,496,686,72.3,8725,2120,223,297,75.1,204,266,76.7,55,81,67.9,0,1.6,1.2,-1.6,9,45,8,0,62
BEL-Belgian Pro League,2023-24,OH Leuven,Federico Ricca,URU,DF,28,1994,16.5,841,1039,80.9,18627,6745,210,246,85.4,467,525,89.0,155,236,65.7,0,0.1,0.5,-0.1,3,82,3,1,90
BEL-Belgian Pro League,2023-24,OH Leuven,Florian Miguel,FRA,DF,26,1996,18.5,551,771,71.5,9735,4014,230,270,85.2,266,356,74.7,44,103,42.7,1,0.5,0.5,0.5,8,32,6,3,44
BEL-Belgian Pro League,2023-24,OH Leuven,Franco Russo,ARG,DF,28,1994,0.6,9,11,81.8,147,80,4,4,100.0,5,7,71.4,0,0,,0,0.0,0.0,0.0,0,2,0,0,2
BEL-Belgian Pro League,2023-24,OH Leuven,Hamza Mendyl,MAR,"DF,MF",25,1997,16.7,460,616,74.7,7035,2607,248,297,83.5,168,217,77.4,25,64,39.1,1,1.4,1.0,-0.4,8,31,13,8,46
BEL-Belgian Pro League,2023-24,OH Leuven,Jonatan Braut Brunes,NOR,FW,22,2000,11.8,139,217,64.1,2028,376,67,101,66.3,56,84,66.7,7,10,70.0,1,0.6,0.6,0.4,7,6,3,0,15
BEL-Belgian Pro League,2023-24,OH Leuven,Joren Dom,BEL,"MF,DF",33,1989,16.0,374,565,66.2,7043,2489,152,200,76.0,164,225,72.9,48,110,43.6,1,0.3,0.6,0.7,7,39,9,5,49
BEL-Belgian Pro League,2023-24,OH Leuven,Joël Schingtienne,BEL,DF,20,2002,21.7,713,875,81.5,13658,4318,232,278,83.5,389,446,87.2,79,114,69.3,0,0.6,0.5,-0.6,7,38,4,1,48
BEL-Belgian Pro League,2023-24,OH Leuven,Jón Dagur Þorsteinsson,ISL,"FW,MF",24,1998,20.3,489,753,64.9,8751,2953,223,296,75.3,191,267,71.5,62,130,47.7,5,4.6,3.3,0.4,45,35,38,12,83
BEL-Belgian Pro League,2023-24,OH Leuven,Kento Misao,JPN,MF,27,1996,7.3,163,236,69.1,2855,1032,72,97,74.2,66,92,71.7,17,34,50.0,1,0.3,0.2,0.7,5,16,0,0,15
BEL-Belgian Pro League,2023-24,OH Leuven,Konan N'dri,CIV,"FW,DF",22,2000,5.6,93,146,63.7,1339,399,47,64,73.4,38,50,76.0,2,11,18.2,1,0.9,0.3,0.1,7,7,5,3,7
BEL-Belgian Pro League,2023-24,OH Leuven,Mandela Keita,BEL,MF,21,2002,0.7,33,35,94.3,762,100,8,8,100.0,16,16,100.0,9,11,81.8,0,0.0,0.0,0.0,0,4,0,0,2
BEL-Belgian Pro League,2023-24,OH Leuven,Mathieu Maertens,BEL,"FW,MF",28,1995,7.7,141,203,69.5,2336,785,60,86,69.8,65,81,80.2,9,19,47.4,0,0.4,0.3,-0.4,9,16,8,0,29
BEL-Belgian Pro League,2023-24,OH Leuven,Maxence Prevot,FRA,GK,26,1997,11.0,298,409,72.9,8481,6140,59,60,98.3,137,138,99.3,102,210,48.6,0,0.0,0.0,0.0,0,8,0,0,0
BEL-Belgian Pro League,2023-24,OH Leuven,Nachon Nsingi,BEL,"FW,MF",22,2001,13.5,187,280,66.8,2574,585,99,134,73.9,63,89,70.8,6,17,35.3,3,1.6,1.2,1.4,13,10,8,3,24
BEL-Belgian Pro League,2023-24,OH Leuven,Nathan Opoku,GHA,FW,22,2001,9.1,130,207,62.8,1742,422,79,121,65.3,38,57,66.7,4,6,66.7,1,0.9,0.9,0.1,15,12,8,0,17
BEL-Belgian Pro League,2023-24,OH Leuven,Pierre-Yves Ngawa,BEL,"DF,MF",31,1992,0.7,7,11,63.6,113,73,2,2,100.0,5,6,83.3,0,3,0.0,0,0.0,0.0,0.0,0,1,0,0,0
BEL-Belgian Pro League,2023-24,OH Leuven,Raphael Holzhauser,AUT,MF,30,1993,0.8,34,46,73.9,557,122,17,20,85.0,13,15,86.7,2,8,25.0,0,0.1,0.1,-0.1,2,2,1,0,3
BEL-Belgian Pro League,2023-24,OH Leuven,Raz Shlomo,ISR,"MF,DF",23,1999,5.8,113,181,62.4,2122,928,41,59,69.5,53,82,64.6,15,30,50.0,0,0.0,0.0,0.0,1,10,0,0,17
BEL-Belgian Pro League,2023-24,OH Leuven,Richie Sagrado,BEL,"DF,MF",19,2004,18.9,457,594,76.9,7492,2462,209,250,83.6,206,262,78.6,27,52,51.9,1,2.0,1.4,-1.0,12,25,7,4,40
BEL-Belgian Pro League,2023-24,OH Leuven,Siebe Schrijvers,BEL,MF,27,1996,27.4,921,1254,73.4,18670,6176,340,425,80.0,403,496,81.3,156,277,56.3,2,2.8,2.5,-0.8,29,126,20,7,136
BEL-Belgian Pro League,2023-24,OH Leuven,Sofian Kiyine,MAR,"MF,FW",25,1997,3.2,78,118,66.1,1714,490,29,41,70.7,30,42,71.4,17,28,60.7,1,0.1,0.5,0.9,2,15,5,1,25
BEL-Belgian Pro League,2023-24,OH Leuven,Suphanat Mueanta,THA,"FW,MF",20,2002,1.6,31,46,67.4,409,129,17,21,81.0,13,19,68.4,0,2,0.0,0,0.3,0.1,-0.3,5,3,3,0,5
BEL-Belgian Pro League,2023-24,OH Leuven,Takahiro Akimoto,JPN,DF,25,1998,2.9,99,129,76.7,1469,631,53,58,91.4,35,51,68.6,5,10,50.0,0,0.0,0.2,0.0,2,9,3,0,16
BEL-Belgian Pro League,2023-24,OH Leuven,Thibault Vlietinck,BEL,"DF,FW",25,1997,5.1,166,231,71.9,2551,964,93,107,86.9,56,76,73.7,12,31,38.7,1,0.9,0.8,0.1,9,9,6,5,12
BEL-Belgian Pro League,2023-24,OH Leuven,Tobe Leysen,BEL,GK,21,2002,16.0,414,631,65.6,12769,9092,44,44,100.0,212,215,98.6,156,366,42.6,0,0.0,0.0,0.0,0,8,0,0,0
BEL-Belgian Pro League,2023-24,OH Leuven,Valentin Cojocaru,ROU,GK,27,1995,3.0,92,100,92.0,2454,1690,17,17,100.0,48,49,98.0,26,32,81.3,0,0.0,0.0,0.0,0,3,0,0,1
BEL-Belgian Pro League,2023-24,OH Leuven,Youssef Maziz,FRA,"MF,FW",25,1998,17.6,464,708,65.5,9058,3722,186,230,80.9,167,239,69.9,88,182,48.4,5,3.5,3.5,1.5,41,55,20,5,76
BEL-Belgian Pro League,2023-24,RWDM,Abner,BRA,"DF,MF",27,1996,20.6,651,873,74.6,10746,3762,286,334,85.6,309,393,78.6,40,110,36.4,0,0.5,0.5,-0.5,7,44,9,3,73
BEL-Belgian Pro League,2023-24,RWDM,Alexis De Sart,BEL,MF,26,1996,5.4,144,213,67.6,2308,798,64,81,79.0,57,88,64.8,11,20,55.0,2,1.2,1.3,0.8,4,16,4,1,19
BEL-Belgian Pro League,2023-24,RWDM,Carlos Alberto,BRA,"FW,MF",21,2002,7.3,76,104,73.1,971,264,47,55,85.5,21,30,70.0,1,6,16.7,0,0.8,0.6,-0.8,4,2,2,0,9
BEL-Belgian Pro League,2023-24,RWDM,Christ Makosso,CGO,DF,19,2004,4.0,104,171,60.8,2846,1294,15,27,55.6,46,68,67.6,42,69,60.9,0,0.0,0.0,0.0,0,11,0,0,5
BEL-Belgian Pro League,2023-24,RWDM,David Sousa,BRA,DF,22,2001,7.5,247,358,69.0,5223,2562,77,96,80.2,119,157,75.8,43,83,51.8,0,0.0,0.2,0.0,0,28,2,2,18
BEL-Belgian Pro League,2023-24,RWDM,Del Piage,BRA,MF,23,2000,0.7,22,38,57.9,321,42,10,17,58.8,7,10,70.0,2,6,33.3,0,0.0,0.0,0.0,1,1,0,0,0
BEL-Belgian Pro League,2023-24,RWDM,Djovkar Doudaev,BEL,DF,19,2003,2.3,95,113,84.1,1732,539,37,42,88.1,49,54,90.7,9,14,64.3,0,0.1,0.0,-0.1,1,4,1,0,6
BEL-Belgian Pro League,2023-24,RWDM,Fabio Ferraro,BEL,MF,20,2002,0.2,5,5,100.0,65,28,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
BEL-Belgian Pro League,2023-24,RWDM,Florent da Silva,FRA,MF,20,2003,5.6,206,289,71.3,3394,934,97,124,78.2,85,113,75.2,15,37,40.5,0,0.5,0.7,-0.5,7,21,8,2,27
BEL-Belgian Pro League,2023-24,RWDM,Florian Le Joncour,FRA,DF,28,1995,9.7,407,531,76.6,7489,3753,153,176,86.9,194,235,82.6,42,89,47.2,0,0.1,0.4,-0.1,2,28,2,0,33
BEL-Belgian Pro League,2023-24,RWDM,Frederic Soelle Soelle,BEL,"FW,MF",17,2005,0.7,10,13,76.9,161,23,5,7,71.4,3,4,75.0,1,1,100.0,0,0.0,0.1,0.0,0,1,0,0,1
BEL-Belgian Pro League,2023-24,RWDM,Guillaume Hubert,BEL,GK,29,1994,0.2,7,13,53.8,252,192,1,1,100.0,3,4,75.0,3,8,37.5,0,0.0,0.0,0.0,0,0,0,0,0
BEL-Belgian Pro League,2023-24,RWDM,Ilay Camara,SEN,"DF,MF",20,2003,17.8,506,701,72.2,7540,3008,276,344,80.2,178,242,73.6,25,65,38.5,5,2.8,1.9,2.2,19,27,11,6,36
BEL-Belgian Pro League,2023-24,RWDM,Jeff Reine-Adélaïde,FRA,MF,25,1998,15.2,589,734,80.2,11010,2527,226,259,87.3,259,302,85.8,76,121,62.8,2,1.1,1.3,0.9,13,55,16,1,88
BEL-Belgian Pro League,2023-24,RWDM,Jonathan Heris,BEL,DF,32,1990,9.7,348,445,78.2,6554,2786,127,148,85.8,178,219,81.3,39,69,56.5,2,0.6,0.3,1.4,4,21,7,4,38
BEL-Belgian Pro League,2023-24,RWDM,Luis Segovia,ECU,DF,25,1997,11.3,548,657,83.4,10949,4518,168,191,88.0,284,311,91.3,77,122,63.1,0,0.0,0.2,0.0,1,38,2,0,53
BEL-Belgian Pro League,2023-24,RWDM,Makhtar Gueye,SEN,FW,25,1997,24.2,304,546,55.7,4313,1256,165,259,63.7,94,188,50.0,17,33,51.5,1,1.8,1.4,-0.8,16,31,10,0,45
BEL-Belgian Pro League,2023-24,RWDM,Malcolm Ebiowei,ENG,"FW,MF",19,2003,1.6,31,46,67.4,462,156,21,25,84.0,8,12,66.7,2,8,25.0,1,0.1,0.2,0.9,2,3,2,1,5
BEL-Belgian Pro League,2023-24,RWDM,Mamadou Sarr,FRA,"MF,DF",17,2005,6.0,189,245,77.1,3850,1103,52,68,76.5,105,120,87.5,26,47,55.3,0,0.4,0.3,-0.4,3,15,1,0,19
BEL-Belgian Pro League,2023-24,RWDM,Marsoni Sambu,ANG,DF,27,1996,11.7,410,550,74.5,6544,2335,194,239,81.2,185,236,78.4,16,40,40.0,0,1.0,1.0,-1.0,6,24,4,3,31
BEL-Belgian Pro League,2023-24,RWDM,Matias Segovia,PAR,"FW,MF",20,2003,0.4,8,14,57.1,141,55,3,6,50.0,5,8,62.5,0,0,,0,0.0,0.0,0.0,0,0,1,0,2
BEL-Belgian Pro League,2023-24,RWDM,Matteo Vandendaele,BEL,DF,18,2005,0.2,8,13,61.5,148,30,2,2,100.0,5,8,62.5,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
BEL-Belgian Pro League,2023-24,RWDM,Mickaël Biron,MTQ,"FW,MF",25,1997,16.1,246,362,68.0,3949,1103,129,173,74.6,82,118,69.5,23,39,59.0,1,1.8,1.6,-0.8,13,26,12,1,40
BEL-Belgian Pro League,2023-24,RWDM,Moussa Sissako,MLI,DF,22,2000,11.0,365,454,80.4,8055,2760,83,102,81.4,219,247,88.7,60,93,64.5,0,0.0,0.1,0.0,0,17,2,1,16
BEL-Belgian Pro League,2023-24,RWDM,Niklo Dailly,BEL,"MF,DF",21,2001,3.6,82,113,72.6,1247,481,46,57,80.7,28,36,77.8,5,14,35.7,0,0.1,0.2,-0.1,4,7,1,0,7
BEL-Belgian Pro League,2023-24,RWDM,Pathé Mboup,SEN,"MF,FW",19,2003,8.5,165,232,71.1,2750,522,74,96,77.1,47,64,73.4,26,36,72.2,2,1.3,1.1,0.7,10,9,4,0,12
BEL-Belgian Pro League,2023-24,RWDM,Philipe Sampaio,BRA,DF,28,1994,4.5,145,179,81.0,3028,1007,40,50,80.0,79,88,89.8,23,34,67.6,0,0.2,0.2,-0.2,1,8,0,0,15
